subscription_id,account_id,trial_start_date,conversion_date,plan_name,monthly_recurring_revenue,cancel_date,status
S00036,A00036,2024-04-30,2024-05-16,Starter,49,2024-11-18,cancelled
S00037,A00037,2024-03-20,,Trial Only,0,,trial_expired
S00038,A00038,2024-11-02,,Trial Only,0,,trial_expired
S00039,A00039,2024-05-26,2024-06-12,Pro,99,,active
S00040,A00040,2025-02-25,,Trial Only,0,,trial_expired
S00041,A00041,2024-10-08,,Trial Only,0,,trial_expired
S00042,A00042,2025-06-17,,Trial Only,0,,trial_expired
S00043,A00043,2025-03-18,2025-03-24,Pro,99,2025-04-07,cancelled
S00044,A00044,2024-07-23,,Trial Only,0,,trial_expired
S00045,A00045,2025-06-17,,Trial Only,0,,trial_expired
S00046,A00046,2025-05-29,2025-06-06,Starter,49,,active
S00047,A00047,2024-09-10,2024-09-16,Pro,99,,active
S00048,A00048,2024-07-07,,Trial Only,0,,trial_expired
S00049,A00049,2025-03-06,2025-03-11,Starter,49,2025-05-06,cancelled
S00050,A00050,2024-03-27,2024-04-06,Pro,99,2024-09-02,cancelled
S00051,A00051,2024-05-07,,Trial Only,0,,trial_expired
S00052,A00052,2024-01-04,,Trial Only,0,,trial_expired
S00053,A00053,2025-05-16,2025-05-26,Pro,99,,active
S00054,A00054,2025-02-21,,Trial Only,0,,trial_expired
S00055,A00055,2025-03-21,2025-03-31,Business,249,,active
S00056,A00056,2025-05-12,2025-05-26,Starter,49,2025-09-11,cancelled
S00057,A00057,2024-10-23,,Trial Only,0,,trial_expired
S00058,A00058,2024-12-27,,Trial Only,0,,trial_expired
S00059,A00059,2024-03-27,2024-04-10,Pro,99,2024-08-13,cancelled
S00060,A00060,2024-03-09,,Trial Only,0,,trial_expired
S00061,A00061,2025-02-24,,Trial Only,0,,trial_expired
S00062,A00062,2024-10-31,2024-11-10,Pro,99,,active
S00063,A00063,2024-12-25,2025-01-02,Starter,49,,active
S00064,A00064,2025-05-01,,Trial Only,0,,trial_expired
S00065,A00065,2025-02-01,,Trial Only,0,,trial_expired
S00066,A00066,2024-12-17,,Trial Only,0,,trial_expired
S00067,A00067,2024-12-21,2025-01-03,Pro,99,2025-02-02,cancelled
S00068,A00068,2024-07-18,2024-07-30,Starter,49,2024-11-14,cancelled
S00069,A00069,2024-01-16,2024-01-27,Starter,49,2024-06-12,cancelled
S00070,A00070,2024-10-07,,Trial Only,0,,trial_expired
S00071,A00071,2024-05-17,2024-05-31,Starter,49,,active
S00072,A00072,2024-09-21,,Trial Only,0,,trial_expired
S00073,A00073,2025-07-01,,Trial Only,0,,trial_expired
S00074,A00074,2024-05-30,,Trial Only,0,,trial_expired
S00075,A00075,2024-01-31,2024-02-13,Starter,49,2024-03-21,cancelled
S00076,A00076,2024-07-02,,Trial Only,0,,trial_expired
S00077,A00077,2024-07-10,,Trial Only,0,,trial_expired
S00078,A00078,2025-02-19,2025-03-08,Pro,99,,active
S00079,A00079,2024-12-19,,Trial Only,0,,trial_expired
S00080,A00080,2025-05-14,,Trial Only,0,,trial_expired
S00081,A00081,2025-02-21,2025-03-01,Starter,49,,active
S00082,A00082,2024-09-20,,Trial Only,0,,trial_expired
S00083,A00083,2025-06-04,,Trial Only,0,,trial_expired
S00084,A00084,2024-04-14,,Trial Only,0,,trial_expired
S00085,A00085,2024-01-12,2024-01-28,Starter,49,2024-09-20,cancelled
S00086,A00086,2024-02-21,2024-02-25,Starter,49,,active
S00087,A00087,2025-04-02,,Trial Only,0,,trial_expired
S00088,A00088,2024-10-25,,Trial Only,0,,trial_expired
S00089,A00089,2024-04-10,2024-04-21,Starter,49,2025-07-04,cancelled
S00090,A00090,2024-11-16,,Trial Only,0,,trial_expired
S00091,A00091,2024-04-04,,Trial Only,0,,trial_expired
S00092,A00092,2025-03-15,2025-03-25,Business,249,2025-09-22,cancelled
S00093,A00093,2024-10-14,2024-10-20,Pro,99,2025-10-25,cancelled
S00094,A00094,2024-09-07,2024-09-18,Starter,49,2024-11-05,cancelled
S00095,A00095,2024-07-16,2024-07-25,Starter,49,2025-04-05,cancelled
S00096,A00096,2025-01-29,,Trial Only,0,,trial_expired
S00097,A00097,2024-08-27,,Trial Only,0,,trial_expired
S00098,A00098,2024-02-20,,Trial Only,0,,trial_expired
S00099,A00099,2024-03-12,,Trial Only,0,,trial_expired
S00100,A00100,2025-09-11,2025-09-23,Pro,99,,active
S00101,A00101,2025-08-08,2025-09-05,Starter,49,2025-12-03,cancelled
S00102,A00102,2025-03-18,2025-04-11,Starter,49,2025-05-19,cancelled
S00103,A00103,2024-06-21,,Trial Only,0,,trial_expired
S00104,A00104,2025-09-15,,Trial Only,0,,trial_expired
S00105,A00105,2025-05-11,2025-05-19,Business,249,2025-10-17,cancelled
S00106,A00106,2025-03-29,2025-04-15,Starter,49,,active
S00107,A00107,2024-10-16,,Trial Only,0,,trial_expired
S00108,A00108,2024-06-26,2024-07-07,Starter,49,2025-04-11,cancelled
S00109,A00109,2024-02-26,,Trial Only,0,,trial_expired
S00110,A00110,2025-08-04,,Trial Only,0,,trial_expired
S00111,A00111,2024-10-20,,Trial Only,0,,trial_expired
S00112,A00112,2024-05-09,,Trial Only,0,,trial_expired
S00113,A00113,2024-07-19,2024-08-15,Business,249,2025-09-01,cancelled
S00114,A00114,2025-01-03,,Trial Only,0,,trial_expired
S00115,A00115,2024-04-21,2024-05-03,Starter,49,2025-02-14,cancelled
S00116,A00116,2025-07-03,2025-07-06,Pro,99,2025-11-04,cancelled
S00117,A00117,2025-04-27,,Trial Only,0,,trial_expired
S00118,A00118,2025-03-31,2025-04-08,Pro,99,,active
S00119,A00119,2024-10-04,2024-10-19,Starter,49,,active
S00120,A00120,2025-01-28,2025-02-02,Business,249,2025-05-02,cancelled
S00121,A00121,2025-01-05,,Trial Only,0,,trial_expired
S00122,A00122,2025-02-11,2025-02-23,Starter,49,2025-05-15,cancelled
S00123,A00123,2024-02-17,2024-03-05,Starter,49,,active
S00124,A00124,2024-09-25,,Trial Only,0,,trial_expired
S00125,A00125,2024-01-22,2024-01-27,Pro,99,2024-12-18,cancelled
S00126,A00126,2024-11-12,2024-11-20,Starter,49,,active
S00127,A00127,2024-08-05,,Trial Only,0,,trial_expired
S00128,A00128,2024-03-30,,Trial Only,0,,trial_expired
S00129,A00129,2024-03-01,2024-03-13,Starter,49,2024-08-23,cancelled
S00130,A00130,2025-01-07,2025-01-10,Starter,49,2025-02-12,cancelled
S00131,A00131,2024-04-17,,Trial Only,0,,trial_expired
S00132,A00132,2025-08-20,2025-08-30,Starter,49,2025-10-21,cancelled
S00133,A00133,2025-01-04,2025-01-20,Business,249,2025-06-05,cancelled
S00134,A00134,2024-08-16,,Trial Only,0,,trial_expired
S00135,A00135,2025-01-09,2025-01-29,Pro,99,2025-11-24,cancelled
S00136,A00136,2024-01-12,,Trial Only,0,,trial_expired
S00137,A00137,2025-09-09,,Trial Only,0,,trial_expired
S00138,A00138,2024-11-06,2024-11-16,Pro,99,,active
S00139,A00139,2025-05-14,2025-05-27,Pro,99,2025-11-23,cancelled
S00140,A00140,2024-02-16,2024-03-01,Business,249,2025-04-11,cancelled
S00141,A00141,2024-11-08,2024-11-13,Pro,99,2026-01-12,cancelled
S00142,A00142,2024-11-10,2024-11-17,Business,249,,active
S00143,A00143,2025-08-28,,Trial Only,0,,trial_expired
S00144,A00144,2024-12-30,,Trial Only,0,,trial_expired
S00145,A00145,2024-11-01,,Trial Only,0,,trial_expired
S00146,A00146,2024-06-22,,Trial Only,0,,trial_expired
S00147,A00147,2024-08-06,2024-08-23,Pro,99,,active
S00148,A00148,2024-11-26,2024-12-01,Pro,99,2025-08-20,cancelled
S00149,A00149,2024-10-09,2024-10-16,Starter,49,,active
S00150,A00150,2024-01-12,2024-01-30,Starter,49,2024-03-13,cancelled
S00151,A00151,2025-06-13,2025-06-27,Pro,99,,active
S00152,A00152,2025-07-31,2025-08-17,Starter,49,2025-11-16,cancelled
S00153,A00153,2024-03-27,,Trial Only,0,,trial_expired
S00154,A00154,2024-12-17,,Trial Only,0,,trial_expired
S00155,A00155,2024-03-05,,Trial Only,0,,trial_expired
S00156,A00156,2025-02-27,2025-03-04,Starter,49,2025-05-18,cancelled
S00157,A00157,2024-07-02,,Trial Only,0,,trial_expired
S00158,A00158,2025-02-18,,Trial Only,0,,trial_expired
S00159,A00159,2025-04-05,,Trial Only,0,,trial_expired
S00160,A00160,2025-05-04,,Trial Only,0,,trial_expired
S00161,A00161,2024-03-05,,Trial Only,0,,trial_expired
S00162,A00162,2025-08-13,2025-09-05,Pro,99,,active
S00163,A00163,2024-05-28,,Trial Only,0,,trial_expired
S00164,A00164,2024-01-20,2024-02-05,Starter,49,2025-12-16,cancelled
S00165,A00165,2024-12-18,2024-12-24,Starter,49,2025-01-15,cancelled
S00166,A00166,2024-09-02,2024-09-14,Starter,49,2024-10-03,cancelled
S00167,A00167,2025-06-15,,Trial Only,0,,trial_expired
S00168,A00168,2025-05-31,2025-06-12,Starter,49,2025-08-08,cancelled
S00169,A00169,2024-07-27,2024-08-20,Starter,49,2024-10-19,cancelled
S00170,A00170,2025-09-06,2025-09-21,Starter,49,,active
S00171,A00171,2024-07-09,,Trial Only,0,,trial_expired
S00172,A00172,2024-11-23,,Trial Only,0,,trial_expired
S00173,A00173,2024-06-15,,Trial Only,0,,trial_expired
S00174,A00174,2025-08-27,,Trial Only,0,,trial_expired
S00175,A00175,2024-04-13,,Trial Only,0,,trial_expired
S00176,A00176,2024-01-24,2024-02-19,Starter,49,2024-03-06,cancelled
S00177,A00177,2024-10-06,,Trial Only,0,,trial_expired
S00178,A00178,2025-09-26,,Trial Only,0,,trial_expired
S00179,A00179,2025-07-28,2025-08-08,Business,249,,active
S00180,A00180,2025-04-20,,Trial Only,0,,trial_expired
S00181,A00181,2025-07-27,,Trial Only,0,,trial_expired
S00182,A00182,2025-07-29,,Trial Only,0,,trial_expired
S00183,A00183,2024-11-25,,Trial Only,0,,trial_expired
S00184,A00184,2024-07-26,,Trial Only,0,,trial_expired
S00185,A00185,2025-05-06,2025-05-22,Starter,49,2026-02-09,cancelled
S00186,A00186,2025-02-19,,Trial Only,0,,trial_expired
S00187,A00187,2024-09-03,,Trial Only,0,,trial_expired
S00188,A00188,2024-02-24,2024-03-12,Business,249,2025-12-02,cancelled
S00189,A00189,2025-04-19,2025-04-25,Business,249,,active
S00190,A00190,2024-06-19,2024-06-28,Pro,99,2026-01-13,cancelled
S00191,A00191,2025-08-28,2025-09-14,Pro,99,2026-01-23,cancelled
S00192,A00192,2024-06-04,2024-06-09,Starter,49,,active
S00193,A00193,2024-03-15,2024-03-28,Starter,49,2025-03-12,cancelled
S00194,A00194,2025-06-16,,Trial Only,0,,trial_expired
S00195,A00195,2024-04-05,,Trial Only,0,,trial_expired
S00196,A00196,2024-04-23,,Trial Only,0,,trial_expired
S00197,A00197,2025-01-13,2025-02-03,Pro,99,2025-03-23,cancelled
S00198,A00198,2025-07-16,,Trial Only,0,,trial_expired
S00199,A00199,2024-05-05,,Trial Only,0,,trial_expired
S00200,A00200,2024-07-22,,Trial Only,0,,trial_expired
S00201,A00201,2025-05-10,,Trial Only,0,,trial_expired
S00202,A00202,2025-09-16,2025-09-28,Starter,49,,active
S00203,A00203,2024-11-15,,Trial Only,0,,trial_expired
S00204,A00204,2024-03-29,,Trial Only,0,,trial_expired
S00205,A00205,2024-01-08,2024-01-20,Starter,49,2024-04-16,cancelled
S00206,A00206,2024-05-28,2024-06-06,Business,249,2024-12-24,cancelled
S00207,A00207,2024-03-21,2024-04-01,Starter,49,2025-06-22,cancelled
S00208,A00208,2025-03-02,,Trial Only,0,,trial_expired
S00209,A00209,2024-03-14,,Trial Only,0,,trial_expired
S00210,A00210,2024-11-18,,Trial Only,0,,trial_expired
S00211,A00211,2025-03-14,2025-03-19,Starter,49,2025-09-21,cancelled
S00212,A00212,2025-01-04,2025-01-10,Business,249,2026-01-01,cancelled
S00213,A00213,2024-05-07,2024-05-27,Starter,49,2025-05-20,cancelled
S00214,A00214,2025-05-28,,Trial Only,0,,trial_expired
S00215,A00215,2025-03-28,2025-04-14,Starter,49,2025-08-03,cancelled
S00216,A00216,2025-04-14,2025-04-28,Pro,99,,active
S00217,A00217,2024-03-21,,Trial Only,0,,trial_expired
S00218,A00218,2024-03-15,,Trial Only,0,,trial_expired
S00219,A00219,2025-08-21,2025-09-10,Starter,49,2026-01-08,cancelled
S00220,A00220,2024-09-15,2024-10-13,Pro,99,2024-12-03,cancelled
S00221,A00221,2024-07-16,2024-07-22,Starter,49,2025-03-15,cancelled
S00222,A00222,2024-11-09,2024-11-22,Pro,99,2025-04-14,cancelled
S00223,A00223,2025-02-20,2025-03-02,Pro,99,,active
S00224,A00224,2025-09-08,2025-09-14,Pro,99,,active
S00225,A00225,2024-07-06,2024-07-22,Pro,99,,active
S00226,A00226,2025-08-20,,Trial Only,0,,trial_expired
S00227,A00227,2024-01-13,,Trial Only,0,,trial_expired
S00228,A00228,2024-12-18,,Trial Only,0,,trial_expired
S00229,A00229,2025-01-31,,Trial Only,0,,trial_expired
S00230,A00230,2024-03-03,,Trial Only,0,,trial_expired
S00231,A00231,2024-03-27,,Trial Only,0,,trial_expired
S00232,A00232,2024-09-26,2024-10-23,Starter,49,2025-07-16,cancelled
S00233,A00233,2025-09-13,,Trial Only,0,,trial_expired
S00234,A00234,2025-01-12,,Trial Only,0,,trial_expired
S00235,A00235,2025-08-25,,Trial Only,0,,trial_expired
S00236,A00236,2025-05-29,,Trial Only,0,,trial_expired
S00237,A00237,2024-10-28,,Trial Only,0,,trial_expired
S00238,A00238,2025-05-15,,Trial Only,0,,trial_expired
S00239,A00239,2024-01-10,,Trial Only,0,,trial_expired
S00240,A00240,2024-03-05,2024-03-10,Starter,49,,active
S00241,A00241,2025-06-15,2025-06-19,Business,249,,active
S00242,A00242,2025-05-23,,Trial Only,0,,trial_expired
S00243,A00243,2024-05-30,,Trial Only,0,,trial_expired
S00244,A00244,2024-12-01,,Trial Only,0,,trial_expired
S00245,A00245,2025-01-17,2025-02-13,Pro,99,,active
S00246,A00246,2025-07-11,2025-07-19,Starter,49,2025-08-12,cancelled
S00247,A00247,2025-01-15,,Trial Only,0,,trial_expired
S00248,A00248,2024-09-23,2024-10-01,Pro,99,2025-12-24,cancelled
S00249,A00249,2024-09-03,,Trial Only,0,,trial_expired
S00250,A00250,2024-09-30,,Trial Only,0,,trial_expired
S00251,A00251,2025-02-13,,Trial Only,0,,trial_expired
S00252,A00252,2025-07-11,,Trial Only,0,,trial_expired
S00253,A00253,2024-10-19,2024-11-03,Starter,49,2025-02-06,cancelled
S00254,A00254,2024-06-09,,Trial Only,0,,trial_expired
S00255,A00255,2024-06-01,,Trial Only,0,,trial_expired
S00256,A00256,2025-04-18,,Trial Only,0,,trial_expired
S00257,A00257,2025-06-06,2025-06-09,Starter,49,,active
S00258,A00258,2024-03-03,,Trial Only,0,,trial_expired
S00259,A00259,2024-02-05,,Trial Only,0,,trial_expired
S00260,A00260,2025-01-11,,Trial Only,0,,trial_expired
S00261,A00261,2024-03-31,2024-04-09,Pro,99,,active
S00262,A00262,2025-06-12,2025-06-21,Business,249,2025-07-06,cancelled
S00263,A00263,2024-07-22,,Trial Only,0,,trial_expired
S00264,A00264,2024-03-29,,Trial Only,0,,trial_expired
S00265,A00265,2025-08-17,,Trial Only,0,,trial_expired
S00266,A00266,2024-04-13,2024-04-27,Starter,49,,active
S00267,A00267,2024-07-04,,Trial Only,0,,trial_expired
S00268,A00268,2024-04-05,,Trial Only,0,,trial_expired
S00269,A00269,2024-03-10,2024-03-27,Pro,99,2026-01-06,cancelled
S00270,A00270,2024-01-11,,Trial Only,0,,trial_expired
S00271,A00271,2024-01-29,,Trial Only,0,,trial_expired
S00272,A00272,2024-04-20,2024-05-02,Pro,99,2024-07-08,cancelled
S00273,A00273,2024-01-28,,Trial Only,0,,trial_expired
S00274,A00274,2025-01-09,2025-01-15,Starter,49,,active
S00275,A00275,2025-03-04,2025-03-07,Starter,49,,active
S00276,A00276,2024-09-13,,Trial Only,0,,trial_expired
S00277,A00277,2024-07-27,,Trial Only,0,,trial_expired
S00278,A00278,2024-11-17,2024-11-25,Pro,99,2024-12-03,cancelled
S00279,A00279,2025-07-16,,Trial Only,0,,trial_expired
S00280,A00280,2025-06-30,2025-07-05,Starter,49,,active
S00281,A00281,2024-01-23,,Trial Only,0,,trial_expired
S00282,A00282,2024-04-24,2024-05-02,Starter,49,2025-12-06,cancelled
S00283,A00283,2024-06-01,2024-06-19,Business,249,2024-08-24,cancelled
S00284,A00284,2024-06-10,,Trial Only,0,,trial_expired
S00285,A00285,2024-12-29,2025-01-06,Pro,99,,active
S00286,A00286,2024-09-25,2024-09-30,Starter,49,2025-07-08,cancelled
S00287,A00287,2024-01-26,,Trial Only,0,,trial_expired
S00288,A00288,2024-09-03,2024-09-12,Pro,99,2025-02-08,cancelled
S00289,A00289,2024-11-27,,Trial Only,0,,trial_expired
S00290,A00290,2024-02-29,,Trial Only,0,,trial_expired
S00291,A00291,2025-06-18,2025-06-25,Starter,49,,active
S00292,A00292,2024-01-27,,Trial Only,0,,trial_expired
S00293,A00293,2025-08-20,,Trial Only,0,,trial_expired
S00294,A00294,2024-02-28,2024-03-13,Starter,49,2025-03-11,cancelled
S00295,A00295,2025-06-25,,Trial Only,0,,trial_expired
S00296,A00296,2025-08-04,,Trial Only,0,,trial_expired
S00297,A00297,2025-09-20,,Trial Only,0,,trial_expired
S00298,A00298,2025-05-27,,Trial Only,0,,trial_expired
S00299,A00299,2025-05-11,2025-05-24,Starter,49,,active
S00300,A00300,2025-02-06,,Trial Only,0,,trial_expired
S00301,A00301,2025-05-11,2025-05-23,Pro,99,,active
S00302,A00302,2024-03-23,,Trial Only,0,,trial_expired
S00303,A00303,2024-12-05,,Trial Only,0,,trial_expired
S00304,A00304,2024-11-22,,Trial Only,0,,trial_expired
S00305,A00305,2025-07-04,2025-07-21,Starter,49,,active
S00306,A00306,2024-10-25,,Trial Only,0,,trial_expired
S00307,A00307,2024-09-09,,Trial Only,0,,trial_expired
S00308,A00308,2025-02-04,2025-02-08,Business,249,2025-06-18,cancelled
S00309,A00309,2024-06-22,,Trial Only,0,,trial_expired
S00310,A00310,2024-03-27,,Trial Only,0,,trial_expired
S00311,A00311,2024-11-04,2024-11-10,Pro,99,,active
S00312,A00312,2024-09-25,2024-10-06,Pro,99,2026-03-10,cancelled
S00313,A00313,2024-05-29,2024-06-05,Pro,99,2024-09-13,cancelled
S00314,A00314,2024-08-30,2024-09-16,Starter,49,2026-01-13,cancelled
S00315,A00315,2024-08-30,,Trial Only,0,,trial_expired
S00316,A00316,2024-08-03,,Trial Only,0,,trial_expired
S00317,A00317,2024-09-06,,Trial Only,0,,trial_expired
S00318,A00318,2025-03-08,,Trial Only,0,,trial_expired
S00319,A00319,2024-07-13,2024-07-30,Starter,49,2025-06-04,cancelled
S00320,A00320,2025-09-04,,Trial Only,0,,trial_expired
S00321,A00321,2025-08-14,,Trial Only,0,,trial_expired
S00322,A00322,2024-11-05,2024-11-24,Starter,49,2025-04-01,cancelled
S00323,A00323,2024-08-03,2024-08-12,Pro,99,2026-02-12,cancelled
S00324,A00324,2024-12-04,2024-12-15,Pro,99,2025-07-13,cancelled
S00325,A00325,2025-06-28,2025-07-03,Pro,99,2025-09-17,cancelled
S00326,A00326,2025-02-13,2025-03-09,Business,249,2025-12-16,cancelled
S00327,A00327,2025-05-29,2025-06-08,Pro,99,2025-08-22,cancelled
S00328,A00328,2024-12-03,2024-12-10,Business,249,,active
S00329,A00329,2025-01-31,2025-02-10,Pro,99,2025-10-07,cancelled
S00330,A00330,2024-07-07,2024-07-22,Pro,99,,active
S00331,A00331,2025-04-11,,Trial Only,0,,trial_expired
S00332,A00332,2024-05-09,,Trial Only,0,,trial_expired
S00333,A00333,2025-03-14,,Trial Only,0,,trial_expired
S00334,A00334,2025-07-06,2025-07-31,Starter,49,,active
S00335,A00335,2024-03-21,,Trial Only,0,,trial_expired
S00336,A00336,2025-01-21,,Trial Only,0,,trial_expired
S00337,A00337,2024-02-25,,Trial Only,0,,trial_expired
S00338,A00338,2025-04-04,,Trial Only,0,,trial_expired
S00339,A00339,2024-02-17,2024-02-24,Business,249,,active
S00340,A00340,2025-08-27,,Trial Only,0,,trial_expired
S00341,A00341,2024-03-25,2024-04-09,Pro,99,2024-05-14,cancelled
S00342,A00342,2025-09-09,,Trial Only,0,,trial_expired
S00343,A00343,2025-05-26,2025-06-06,Business,249,,active
S00344,A00344,2025-01-10,2025-01-25,Business,249,,active
S00345,A00345,2025-05-14,2025-05-17,Starter,49,,active
S00346,A00346,2025-05-22,2025-05-30,Starter,49,2025-06-07,cancelled
S00347,A00347,2025-09-02,2025-09-13,Pro,99,,active
S00348,A00348,2024-06-13,2024-06-16,Pro,99,2024-10-14,cancelled
S00349,A00349,2025-01-08,,Trial Only,0,,trial_expired
S00350,A00350,2024-02-25,,Trial Only,0,,trial_expired
S00351,A00351,2025-01-22,,Trial Only,0,,trial_expired
S00352,A00352,2024-04-17,,Trial Only,0,,trial_expired
S00353,A00353,2024-12-25,,Trial Only,0,,trial_expired
S00354,A00354,2024-12-30,,Trial Only,0,,trial_expired
S00355,A00355,2024-10-28,2024-11-06,Pro,99,,active
S00356,A00356,2024-11-27,,Trial Only,0,,trial_expired
S00357,A00357,2025-05-01,2025-05-06,Pro,99,,active
S00358,A00358,2025-05-25,,Trial Only,0,,trial_expired
S00359,A00359,2024-11-11,,Trial Only,0,,trial_expired
S00360,A00360,2025-01-13,,Trial Only,0,,trial_expired
S00361,A00361,2025-08-24,2025-09-10,Starter,49,,active
S00362,A00362,2024-03-13,,Trial Only,0,,trial_expired
S00363,A00363,2024-03-11,2024-03-26,Pro,99,2024-05-05,cancelled
S00364,A00364,2024-02-20,,Trial Only,0,,trial_expired
S00365,A00365,2025-02-17,2025-02-26,Starter,49,,active
S00366,A00366,2024-09-26,,Trial Only,0,,trial_expired
S00367,A00367,2025-05-08,,Trial Only,0,,trial_expired
S00368,A00368,2025-02-26,2025-03-05,Pro,99,2025-09-01,cancelled
S00369,A00369,2024-08-07,2024-08-15,Business,249,2025-03-20,cancelled
S00370,A00370,2025-08-01,2025-08-11,Starter,49,,active
S00371,A00371,2025-04-30,2025-05-07,Starter,49,,active
S00372,A00372,2024-06-25,,Trial Only,0,,trial_expired
S00373,A00373,2024-08-28,2024-09-08,Starter,49,2024-10-14,cancelled
S00374,A00374,2024-07-25,,Trial Only,0,,trial_expired
S00375,A00375,2024-04-08,,Trial Only,0,,trial_expired
S00376,A00376,2024-04-01,2024-04-18,Starter,49,2024-05-14,cancelled
S00377,A00377,2025-08-27,,Trial Only,0,,trial_expired
S00378,A00378,2024-10-08,2024-10-25,Pro,99,,active
S00379,A00379,2024-09-08,2024-09-20,Starter,49,,active
S00380,A00380,2025-04-07,2025-04-20,Starter,49,2025-11-18,cancelled
S00381,A00381,2024-12-17,,Trial Only,0,,trial_expired
S00382,A00382,2025-08-27,2025-09-08,Pro,99,,active
S00383,A00383,2025-05-12,2025-05-27,Starter,49,2025-06-12,cancelled
S00384,A00384,2024-11-04,,Trial Only,0,,trial_expired
S00385,A00385,2024-09-04,,Trial Only,0,,trial_expired
S00386,A00386,2025-09-24,,Trial Only,0,,trial_expired
S00387,A00387,2025-03-30,,Trial Only,0,,trial_expired
S00388,A00388,2025-09-05,,Trial Only,0,,trial_expired
S00389,A00389,2024-03-12,,Trial Only,0,,trial_expired
S00390,A00390,2025-06-29,,Trial Only,0,,trial_expired
S00391,A00391,2025-02-02,2025-02-12,Starter,49,2026-02-10,cancelled
S00392,A00392,2024-03-14,2024-03-25,Starter,49,2024-07-16,cancelled
S00393,A00393,2025-01-08,,Trial Only,0,,trial_expired
S00394,A00394,2025-03-08,2025-03-25,Business,249,2025-08-12,cancelled
S00395,A00395,2024-01-07,,Trial Only,0,,trial_expired
S00396,A00396,2024-10-19,,Trial Only,0,,trial_expired
S00397,A00397,2025-06-12,,Trial Only,0,,trial_expired
S00398,A00398,2024-07-12,2024-07-27,Starter,49,,active
S00399,A00399,2024-10-22,,Trial Only,0,,trial_expired
S00400,A00400,2024-10-11,2024-10-22,Business,249,2025-10-09,cancelled
S00401,A00401,2024-07-16,2024-07-27,Business,249,2025-01-06,cancelled
S00402,A00402,2025-08-15,,Trial Only,0,,trial_expired
S00403,A00403,2025-05-13,2025-05-27,Starter,49,,active
S00404,A00404,2024-03-06,,Trial Only,0,,trial_expired
S00405,A00405,2025-09-29,2025-10-07,Starter,49,,active
S00406,A00406,2025-07-19,,Trial Only,0,,trial_expired
S00407,A00407,2024-07-04,,Trial Only,0,,trial_expired
S00408,A00408,2025-06-20,2025-07-18,Starter,49,2025-09-16,cancelled
S00409,A00409,2024-03-04,2024-03-20,Business,249,2024-06-05,cancelled
S00410,A00410,2025-09-30,,Trial Only,0,,trial_expired
S00411,A00411,2025-02-22,2025-02-27,Starter,49,2025-10-02,cancelled
S00412,A00412,2025-02-11,2025-02-23,Pro,99,,active
S00413,A00413,2024-02-22,2024-03-08,Business,249,,active
S00414,A00414,2025-07-31,,Trial Only,0,,trial_expired
