account_id,signup_date,country,industry,company_size,first_touch_channel,first_touch_campaign_id,trial_days
A05178,2024-01-03,Canada,Professional Services,6-20,Partner,PART_Community,14
A07203,2024-01-03,Canada,Professional Services,51-200,Paid Search,PS_Competitor,14
A03606,2024-01-03,United Kingdom,Home Services,1-5,Paid Social,SOC_Prospecting,14
A06989,2024-01-03,United Kingdom,Retail,6-20,Paid Social,SOC_Video,14
A06128,2024-01-03,Canada,Education,51-200,Paid Search,PS_Competitor,14
A05451,2024-01-03,United Kingdom,Healthcare,201+,Paid Search,PS_Competitor,14
A07176,2024-01-03,Canada,Professional Services,6-20,Paid Search,PS_NonBrand,14
A10431,2024-01-03,United States,Professional Services,21-50,Paid Search,PS_NonBrand,14
A06159,2024-01-03,Canada,Home Services,6-20,Email,EML_Reactivation,14
A11675,2024-01-03,Canada,Professional Services,51-200,Paid Social,SOC_Video,14
A07013,2024-01-03,Canada,Education,1-5,Paid Social,SOC_Retargeting,14
A03179,2024-01-03,Australia,Technology,21-50,Paid Social,SOC_Prospecting,14
A09951,2024-01-03,United States,Healthcare,1-5,Organic Search,ORG_SEO,14
A01314,2024-01-03,United States,Technology,1-5,Partner,PART_Community,14
A01617,2024-01-03,Canada,Healthcare,1-5,Organic Search,ORG_SEO,14
A11460,2024-01-03,United States,Home Services,21-50,Direct,DIR_None,14
A07929,2024-01-03,Canada,Education,1-5,Referral,REF_Customer,14
A06042,2024-01-03,United States,Healthcare,6-20,Email,EML_Nurture,14
A09818,2024-01-03,Canada,Technology,6-20,Direct,DIR_None,14
A00775,2024-01-03,Canada,Professional Services,51-200,Paid Social,SOC_Retargeting,14
A08715,2024-01-03,United States,Education,21-50,Partner,PART_Consultants,14
A00647,2024-01-03,United States,Professional Services,1-5,Organic Search,ORG_SEO,14
A02299,2024-01-03,Canada,Education,1-5,Organic Search,ORG_SEO,14
A08633,2024-01-03,Canada,Technology,1-5,Paid Search,PS_Brand,14
A00811,2024-01-03,Australia,Retail,51-200,Referral,REF_Customer,14
A05228,2024-01-03,Canada,Home Services,6-20,Paid Social,SOC_Retargeting,14
A09342,2024-01-03,Australia,Retail,1-5,Organic Search,ORG_SEO,14
A09686,2024-01-03,United Kingdom,Healthcare,21-50,Email,EML_Nurture,14
A04773,2024-01-03,United States,Healthcare,51-200,Email,EML_Reactivation,14
A01323,2024-01-03,United States,Retail,21-50,Partner,PART_Community,14
A03038,2024-01-03,United States,Education,6-20,Organic Search,ORG_SEO,14
A03439,2024-01-04,United States,Healthcare,6-20,Email,EML_Nurture,14
A04991,2024-01-04,Canada,Technology,6-20,Paid Search,PS_NonBrand,14
A03463,2024-01-04,United Kingdom,Professional Services,1-5,Partner,PART_Consultants,14
A04775,2024-01-04,United States,Healthcare,6-20,Paid Social,SOC_Video,14
A00595,2024-01-04,United States,Education,21-50,Referral,REF_Customer,14
A01101,2024-01-04,Canada,Education,6-20,Organic Search,ORG_SEO,14
A10334,2024-01-04,United States,Retail,6-20,Paid Social,SOC_Prospecting,14
A07550,2024-01-04,United Kingdom,Technology,6-20,Organic Search,ORG_SEO,14
A05424,2024-01-04,United Kingdom,Education,21-50,Organic Search,ORG_SEO,14
A02922,2024-01-04,United States,Professional Services,6-20,Partner,PART_Consultants,14
A08542,2024-01-04,United Kingdom,Education,1-5,Paid Search,PS_Brand,14
A00052,2024-01-04,United States,Healthcare,201+,Organic Search,ORG_SEO,14
A09215,2024-01-04,United States,Home Services,6-20,Referral,REF_Customer,14
A07122,2024-01-04,United States,Technology,201+,Organic Search,ORG_SEO,14
A05031,2024-01-04,United States,Professional Services,6-20,Partner,PART_Consultants,14
A04156,2024-01-04,Canada,Education,51-200,Direct,DIR_None,14
A08923,2024-01-04,United States,Technology,21-50,Paid Social,SOC_Retargeting,14
A08500,2024-01-04,Canada,Technology,51-200,Paid Search,PS_Brand,14
A04281,2024-01-04,United Kingdom,Professional Services,6-20,Email,EML_Reactivation,14
A08077,2024-01-05,Canada,Education,21-50,Paid Search,PS_Competitor,14
A07435,2024-01-05,Canada,Healthcare,6-20,Direct,DIR_None,14
A05922,2024-01-05,United States,Education,21-50,Email,EML_Nurture,14
A05594,2024-01-05,Canada,Professional Services,51-200,Paid Social,SOC_Prospecting,14
A09720,2024-01-05,United States,Professional Services,6-20,Paid Social,SOC_Video,14
A02384,2024-01-05,United Kingdom,Healthcare,51-200,Organic Search,ORG_SEO,14
A09005,2024-01-05,Canada,Professional Services,201+,Partner,PART_Consultants,14
A09836,2024-01-05,Australia,Home Services,6-20,Paid Social,SOC_Retargeting,14
A08294,2024-01-05,Canada,Professional Services,1-5,Organic Search,ORG_SEO,14
A07575,2024-01-05,Canada,Technology,1-5,Direct,DIR_None,14
A11167,2024-01-05,Canada,Healthcare,21-50,Paid Search,PS_Brand,14
A10211,2024-01-05,United States,Retail,1-5,Paid Search,PS_Brand,14
A08431,2024-01-05,Canada,Healthcare,21-50,Paid Search,PS_NonBrand,14
A04966,2024-01-05,Canada,Healthcare,51-200,Partner,PART_Consultants,14
A11786,2024-01-05,Canada,Retail,51-200,Referral,REF_Customer,14
A10147,2024-01-05,United States,Education,21-50,Direct,DIR_None,14
A00766,2024-01-05,Canada,Technology,1-5,Organic Search,ORG_SEO,14
A06744,2024-01-05,Canada,Home Services,1-5,Email,EML_Reactivation,14
A08741,2024-01-05,United Kingdom,Home Services,1-5,Paid Social,SOC_Prospecting,14
A10141,2024-01-05,United Kingdom,Education,1-5,Paid Social,SOC_Retargeting,14
A02940,2024-01-06,United States,Home Services,21-50,Organic Search,ORG_SEO,14
A11890,2024-01-06,Canada,Retail,1-5,Organic Search,ORG_SEO,14
A04838,2024-01-06,United Kingdom,Home Services,1-5,Paid Search,PS_NonBrand,14
A07100,2024-01-06,Canada,Professional Services,21-50,Paid Search,PS_Brand,14
A05625,2024-01-06,Canada,Professional Services,6-20,Email,EML_Nurture,14
A03377,2024-01-06,Canada,Professional Services,6-20,Email,EML_Reactivation,14
A01911,2024-01-06,United Kingdom,Home Services,21-50,Referral,REF_Customer,14
A06013,2024-01-06,United States,Retail,51-200,Paid Social,SOC_Prospecting,14
A10127,2024-01-06,United States,Technology,21-50,Organic Search,ORG_SEO,14
A10115,2024-01-06,Canada,Professional Services,51-200,Referral,REF_Customer,14
A09966,2024-01-06,Canada,Healthcare,51-200,Organic Search,ORG_SEO,14
A11309,2024-01-06,Canada,Healthcare,1-5,Email,EML_Reactivation,14
A08693,2024-01-06,Canada,Healthcare,1-5,Paid Search,PS_Brand,14
A09617,2024-01-06,Canada,Home Services,1-5,Organic Search,ORG_SEO,14
A09893,2024-01-06,Canada,Technology,21-50,Paid Social,SOC_Retargeting,14
A06610,2024-01-06,United States,Healthcare,1-5,Email,EML_Reactivation,14
A02394,2024-01-06,Canada,Professional Services,6-20,Direct,DIR_None,14
A00535,2024-01-06,Canada,Technology,6-20,Paid Search,PS_NonBrand,14
A11769,2024-01-07,United States,Technology,1-5,Paid Search,PS_Brand,14
A06073,2024-01-07,Canada,Home Services,1-5,Paid Search,PS_Brand,14
A09982,2024-01-07,Canada,Retail,6-20,Paid Search,PS_NonBrand,14
A03321,2024-01-07,United States,Healthcare,51-200,Partner,PART_Community,14
A00395,2024-01-07,Canada,Professional Services,6-20,Organic Search,ORG_SEO,14
A02958,2024-01-07,United Kingdom,Education,6-20,Paid Search,PS_Competitor,14
A09390,2024-01-07,United States,Technology,51-200,Organic Search,ORG_SEO,14
A02719,2024-01-07,Canada,Healthcare,51-200,Organic Search,ORG_SEO,14
A02539,2024-01-07,United Kingdom,Technology,6-20,Email,EML_Reactivation,14
A06625,2024-01-07,United States,Retail,51-200,Paid Search,PS_Competitor,14
A06496,2024-01-07,Canada,Technology,6-20,Referral,REF_Customer,14
A05305,2024-01-07,Australia,Healthcare,1-5,Direct,DIR_None,14
A09305,2024-01-07,Australia,Home Services,6-20,Paid Social,SOC_Video,14
A04305,2024-01-07,Canada,Education,6-20,Direct,DIR_None,14
A00841,2024-01-07,United States,Professional Services,6-20,Paid Social,SOC_Video,14
A03218,2024-01-07,United States,Technology,21-50,Partner,PART_Community,14
A01952,2024-01-07,Canada,Retail,51-200,Partner,PART_Community,14
A07062,2024-01-07,United Kingdom,Education,1-5,Direct,DIR_None,14
A02115,2024-01-08,Canada,Professional Services,1-5,Paid Search,PS_NonBrand,14
A03996,2024-01-08,United Kingdom,Home Services,6-20,Paid Social,SOC_Retargeting,14
A05961,2024-01-08,Canada,Technology,1-5,Paid Social,SOC_Prospecting,14
A02023,2024-01-08,United Kingdom,Retail,1-5,Referral,REF_Customer,14
A05662,2024-01-08,United States,Healthcare,6-20,Organic Search,ORG_SEO,14
A07392,2024-01-08,Canada,Professional Services,21-50,Organic Search,ORG_SEO,14
A00519,2024-01-08,United States,Professional Services,21-50,Organic Search,ORG_SEO,14
A10380,2024-01-08,United Kingdom,Professional Services,1-5,Referral,REF_Customer,14
A11318,2024-01-08,United States,Professional Services,6-20,Paid Social,SOC_Retargeting,14
A08640,2024-01-08,Canada,Retail,51-200,Paid Social,SOC_Retargeting,14
A00205,2024-01-08,Australia,Education,1-5,Paid Social,SOC_Video,14
A07974,2024-01-08,Canada,Professional Services,1-5,Partner,PART_Community,14
A07406,2024-01-08,United States,Healthcare,1-5,Direct,DIR_None,14
A05686,2024-01-08,United States,Professional Services,1-5,Paid Social,SOC_Video,14
A06737,2024-01-08,Canada,Professional Services,6-20,Paid Search,PS_Brand,14
A04418,2024-01-08,United Kingdom,Retail,1-5,Referral,REF_Customer,14
A04222,2024-01-08,Canada,Professional Services,1-5,Paid Social,SOC_Prospecting,14
A06827,2024-01-08,United States,Technology,6-20,Paid Social,SOC_Retargeting,14
A06898,2024-01-08,United States,Professional Services,1-5,Direct,DIR_None,14
A10057,2024-01-08,Canada,Healthcare,6-20,Email,EML_Reactivation,14
A10041,2024-01-08,United States,Technology,1-5,Paid Search,PS_Brand,14
A04792,2024-01-09,United Kingdom,Retail,21-50,Paid Social,SOC_Video,14
A11524,2024-01-09,Canada,Home Services,1-5,Paid Social,SOC_Prospecting,14
A03532,2024-01-09,Canada,Retail,1-5,Email,EML_Nurture,14
A02052,2024-01-09,Canada,Healthcare,6-20,Direct,DIR_None,14
A11497,2024-01-09,United States,Retail,1-5,Paid Search,PS_Competitor,14
A02534,2024-01-09,Canada,Professional Services,6-20,Paid Search,PS_Competitor,14
A02571,2024-01-09,Canada,Healthcare,6-20,Email,EML_Nurture,14
A07867,2024-01-09,United Kingdom,Education,1-5,Direct,DIR_None,14
A11197,2024-01-09,United States,Healthcare,1-5,Paid Search,PS_Brand,14
A01568,2024-01-09,Australia,Home Services,1-5,Organic Search,ORG_SEO,14
A11840,2024-01-09,Canada,Retail,1-5,Organic Search,ORG_SEO,14
A10509,2024-01-09,United States,Retail,1-5,Partner,PART_Consultants,14
A08873,2024-01-09,United States,Technology,201+,Paid Social,SOC_Retargeting,14
A09965,2024-01-09,United States,Technology,6-20,Paid Social,SOC_Prospecting,14
A06751,2024-01-09,Canada,Education,1-5,Paid Search,PS_NonBrand,14
A10463,2024-01-09,Canada,Retail,51-200,Paid Social,SOC_Video,14
A00812,2024-01-09,Canada,Retail,1-5,Referral,REF_Customer,14
A03801,2024-01-09,United Kingdom,Retail,1-5,Referral,REF_Customer,14
A04816,2024-01-09,Canada,Professional Services,6-20,Referral,REF_Customer,14
A03071,2024-01-09,Canada,Professional Services,1-5,Organic Search,ORG_SEO,14
A08501,2024-01-10,Canada,Healthcare,21-50,Email,EML_Nurture,14
A10419,2024-01-10,Canada,Home Services,6-20,Organic Search,ORG_SEO,14
A04501,2024-01-10,United States,Healthcare,1-5,Direct,DIR_None,14
A11182,2024-01-10,Australia,Technology,51-200,Paid Search,PS_Competitor,14
A09473,2024-01-10,United States,Home Services,6-20,Direct,DIR_None,14
A07579,2024-01-10,United Kingdom,Healthcare,201+,Organic Search,ORG_SEO,14
A00826,2024-01-10,Australia,Home Services,6-20,Direct,DIR_None,14
A08938,2024-01-10,Canada,Healthcare,6-20,Email,EML_Reactivation,14
A00797,2024-01-10,Australia,Technology,1-5,Direct,DIR_None,14
A01949,2024-01-10,Canada,Professional Services,1-5,Email,EML_Nurture,14
A04337,2024-01-10,Canada,Home Services,6-20,Organic Search,ORG_SEO,14
A06411,2024-01-10,United States,Home Services,21-50,Direct,DIR_None,14
A10523,2024-01-10,Canada,Retail,1-5,Referral,REF_Customer,14
A06601,2024-01-10,Canada,Technology,1-5,Email,EML_Reactivation,14
A08481,2024-01-10,Canada,Home Services,1-5,Paid Search,PS_NonBrand,14
A10719,2024-01-10,Canada,Home Services,21-50,Paid Search,PS_NonBrand,14
A09797,2024-01-10,Australia,Healthcare,6-20,Direct,DIR_None,14
A10343,2024-01-10,United Kingdom,Healthcare,1-5,Organic Search,ORG_SEO,14
A00683,2024-01-10,Canada,Technology,6-20,Organic Search,ORG_SEO,14
A00239,2024-01-10,United States,Healthcare,21-50,Email,EML_Nurture,14
A05572,2024-01-10,Canada,Retail,6-20,Organic Search,ORG_SEO,14
A01929,2024-01-10,Canada,Professional Services,1-5,Referral,REF_Customer,14
A03805,2024-01-11,United States,Technology,6-20,Partner,PART_Consultants,14
A03459,2024-01-11,Canada,Professional Services,6-20,Paid Search,PS_NonBrand,14
A04403,2024-01-11,United States,Professional Services,21-50,Direct,DIR_None,14
A11456,2024-01-11,United Kingdom,Professional Services,51-200,Paid Search,PS_NonBrand,14
A07520,2024-01-11,Australia,Professional Services,6-20,Paid Social,SOC_Retargeting,14
A07488,2024-01-11,Canada,Professional Services,6-20,Referral,REF_Customer,14
A09556,2024-01-11,United States,Professional Services,6-20,Referral,REF_Customer,14
A04248,2024-01-11,Canada,Education,1-5,Organic Search,ORG_SEO,14
A07273,2024-01-11,United States,Retail,201+,Partner,PART_Consultants,14
A01894,2024-01-11,United States,Retail,21-50,Paid Social,SOC_Retargeting,14
A10372,2024-01-11,Canada,Home Services,1-5,Organic Search,ORG_SEO,14
A01045,2024-01-11,Canada,Healthcare,1-5,Email,EML_Nurture,14
A04136,2024-01-11,Canada,Healthcare,51-200,Referral,REF_Customer,14
A00270,2024-01-11,Canada,Home Services,6-20,Organic Search,ORG_SEO,14
A05206,2024-01-11,Canada,Professional Services,1-5,Direct,DIR_None,14
A03879,2024-01-11,Canada,Home Services,6-20,Referral,REF_Customer,14
A02873,2024-01-11,United Kingdom,Retail,6-20,Direct,DIR_None,14
A04450,2024-01-11,Australia,Education,6-20,Paid Search,PS_Brand,14
A06034,2024-01-11,United States,Healthcare,6-20,Direct,DIR_None,14
A09754,2024-01-11,Canada,Professional Services,51-200,Organic Search,ORG_SEO,14
A11027,2024-01-11,United States,Professional Services,51-200,Organic Search,ORG_SEO,14
A04167,2024-01-11,Canada,Professional Services,6-20,Referral,REF_Customer,14
A06489,2024-01-11,Canada,Technology,6-20,Paid Social,SOC_Prospecting,14
A05103,2024-01-12,United States,Technology,6-20,Direct,DIR_None,14
A02031,2024-01-12,United States,Home Services,6-20,Paid Search,PS_Competitor,14
A02038,2024-01-12,United States,Retail,1-5,Paid Search,PS_Competitor,14
A07490,2024-01-12,Canada,Healthcare,201+,Direct,DIR_None,14
A01902,2024-01-12,United States,Education,1-5,Referral,REF_Customer,14
A08349,2024-01-12,Canada,Home Services,51-200,Paid Search,PS_Competitor,14
A09029,2024-01-12,United States,Retail,51-200,Partner,PART_Community,14
A04859,2024-01-12,United States,Retail,21-50,Organic Search,ORG_SEO,14
A08446,2024-01-12,Australia,Home Services,1-5,Paid Search,PS_Competitor,14
A01069,2024-01-12,United Kingdom,Home Services,201+,Organic Search,ORG_SEO,14
A00085,2024-01-12,United States,Technology,6-20,Direct,DIR_None,14
A10052,2024-01-12,United States,Healthcare,21-50,Paid Search,PS_Brand,14
A00136,2024-01-12,United States,Healthcare,6-20,Paid Social,SOC_Retargeting,14
A08875,2024-01-12,United States,Technology,1-5,Paid Social,SOC_Prospecting,14
A00150,2024-01-12,Canada,Healthcare,21-50,Paid Social,SOC_Video,14
A05187,2024-01-12,United States,Healthcare,6-20,Paid Search,PS_Competitor,14
A03793,2024-01-12,Australia,Healthcare,1-5,Email,EML_Reactivation,14
A07170,2024-01-12,United States,Retail,6-20,Paid Social,SOC_Prospecting,14
A08201,2024-01-12,Canada,Healthcare,21-50,Paid Search,PS_Competitor,14
A09350,2024-01-12,United Kingdom,Professional Services,1-5,Paid Search,PS_Brand,14
A00872,2024-01-12,Canada,Healthcare,21-50,Organic Search,ORG_SEO,14
A08577,2024-01-12,United States,Professional Services,1-5,Paid Search,PS_NonBrand,14
A10412,2024-01-12,United States,Retail,6-20,Direct,DIR_None,14
A07264,2024-01-12,United States,Professional Services,1-5,Paid Search,PS_Competitor,14
A06426,2024-01-12,United States,Healthcare,1-5,Organic Search,ORG_SEO,14
A10899,2024-01-12,United Kingdom,Home Services,6-20,Organic Search,ORG_SEO,14
A10383,2024-01-12,Canada,Professional Services,1-5,Paid Social,SOC_Prospecting,14
A00590,2024-01-13,United Kingdom,Technology,1-5,Partner,PART_Community,14
A01721,2024-01-13,Canada,Professional Services,1-5,Paid Social,SOC_Video,14
A04338,2024-01-13,United States,Technology,21-50,Direct,DIR_None,14
A11476,2024-01-13,Canada,Education,6-20,Organic Search,ORG_SEO,14
A09737,2024-01-13,United States,Professional Services,6-20,Organic Search,ORG_SEO,14
A05853,2024-01-13,Australia,Healthcare,1-5,Paid Search,PS_NonBrand,14
A07685,2024-01-13,Canada,Technology,6-20,Paid Search,PS_Competitor,14
A04559,2024-01-13,United Kingdom,Healthcare,51-200,Paid Search,PS_NonBrand,14
A05499,2024-01-13,United Kingdom,Technology,1-5,Organic Search,ORG_SEO,14
A01356,2024-01-13,Canada,Retail,201+,Paid Social,SOC_Retargeting,14
A08884,2024-01-13,Canada,Technology,6-20,Organic Search,ORG_SEO,14
A09636,2024-01-13,United Kingdom,Home Services,21-50,Organic Search,ORG_SEO,14
A08807,2024-01-13,Canada,Professional Services,51-200,Referral,REF_Customer,14
A02557,2024-01-13,United States,Home Services,6-20,Organic Search,ORG_SEO,14
A03699,2024-01-13,Canada,Home Services,51-200,Referral,REF_Customer,14
A02887,2024-01-13,United States,Retail,6-20,Paid Social,SOC_Video,14
A06641,2024-01-13,United States,Home Services,51-200,Organic Search,ORG_SEO,14
A09173,2024-01-13,Canada,Retail,1-5,Organic Search,ORG_SEO,14
A00227,2024-01-13,United States,Professional Services,1-5,Organic Search,ORG_SEO,14
A09085,2024-01-13,Canada,Home Services,1-5,Referral,REF_Customer,14
A07500,2024-01-13,Australia,Technology,21-50,Direct,DIR_None,14
A02350,2024-01-13,Canada,Education,1-5,Direct,DIR_None,14
A10908,2024-01-13,United States,Education,21-50,Paid Search,PS_NonBrand,14
A08432,2024-01-14,United Kingdom,Home Services,1-5,Direct,DIR_None,14
A09462,2024-01-14,United States,Education,1-5,Direct,DIR_None,14
A03333,2024-01-14,United Kingdom,Education,6-20,Organic Search,ORG_SEO,14
A05481,2024-01-14,Canada,Healthcare,1-5,Paid Search,PS_NonBrand,14
A07019,2024-01-14,United States,Education,6-20,Organic Search,ORG_SEO,14
A04380,2024-01-14,Canada,Professional Services,6-20,Paid Search,PS_NonBrand,14
A11446,2024-01-14,United Kingdom,Healthcare,1-5,Paid Search,PS_Competitor,14
A03308,2024-01-14,United States,Healthcare,1-5,Direct,DIR_None,14
A02581,2024-01-14,Canada,Home Services,51-200,Partner,PART_Community,14
A06274,2024-01-14,United States,Professional Services,6-20,Paid Search,PS_Competitor,14
A09817,2024-01-14,Australia,Retail,51-200,Organic Search,ORG_SEO,14
A09135,2024-01-14,Canada,Technology,21-50,Partner,PART_Community,14
A02130,2024-01-14,Australia,Home Services,6-20,Paid Search,PS_Brand,14
A11492,2024-01-14,United States,Education,1-5,Paid Search,PS_Competitor,14
A01205,2024-01-14,United Kingdom,Healthcare,21-50,Paid Search,PS_Competitor,14
A05030,2024-01-14,Australia,Healthcare,6-20,Direct,DIR_None,14
A06528,2024-01-14,Canada,Education,51-200,Paid Search,PS_NonBrand,14
A03192,2024-01-14,United Kingdom,Home Services,21-50,Paid Search,PS_NonBrand,14
A08106,2024-01-14,Canada,Education,6-20,Paid Social,SOC_Video,14
A08716,2024-01-14,United States,Technology,6-20,Organic Search,ORG_SEO,14
A08474,2024-01-14,United States,Education,21-50,Direct,DIR_None,14
A01318,2024-01-14,Canada,Retail,1-5,Paid Search,PS_Competitor,14
A10311,2024-01-14,United States,Home Services,6-20,Referral,REF_Customer,14
A07227,2024-01-14,Canada,Technology,1-5,Organic Search,ORG_SEO,14
A11776,2024-01-14,United States,Professional Services,21-50,Organic Search,ORG_SEO,14
A08004,2024-01-14,United States,Healthcare,51-200,Paid Search,PS_Brand,14
A11144,2024-01-14,United States,Home Services,6-20,Paid Social,SOC_Prospecting,14
A03300,2024-01-14,United States,Healthcare,21-50,Email,EML_Reactivation,14
A06648,2024-01-14,United States,Technology,6-20,Direct,DIR_None,14
A06877,2024-01-14,United States,Education,21-50,Organic Search,ORG_SEO,14
A09682,2024-01-15,United Kingdom,Technology,1-5,Direct,DIR_None,14
A07018,2024-01-15,Canada,Education,6-20,Paid Search,PS_Brand,14
A06055,2024-01-15,Australia,Technology,21-50,Organic Search,ORG_SEO,14
A06976,2024-01-15,United Kingdom,Education,6-20,Organic Search,ORG_SEO,14
A03862,2024-01-15,Australia,Professional Services,1-5,Direct,DIR_None,14
A06270,2024-01-15,Canada,Professional Services,6-20,Referral,REF_Customer,14
A10743,2024-01-15,United States,Technology,6-20,Email,EML_Reactivation,14
A11493,2024-01-15,Canada,Healthcare,6-20,Organic Search,ORG_SEO,14
A07578,2024-01-15,Australia,Retail,1-5,Referral,REF_Customer,14
A05902,2024-01-15,United Kingdom,Retail,21-50,Paid Social,SOC_Retargeting,14
A01743,2024-01-15,Australia,Retail,1-5,Referral,REF_Customer,14
A02815,2024-01-15,United States,Home Services,51-200,Organic Search,ORG_SEO,14
A07758,2024-01-15,United States,Education,6-20,Paid Search,PS_Competitor,14
A03394,2024-01-15,United States,Retail,201+,Paid Social,SOC_Video,14
A05895,2024-01-15,Australia,Professional Services,6-20,Organic Search,ORG_SEO,14
A04430,2024-01-16,United States,Education,1-5,Organic Search,ORG_SEO,14
A00069,2024-01-16,Canada,Home Services,1-5,Organic Search,ORG_SEO,14
A09004,2024-01-16,Canada,Professional Services,6-20,Partner,PART_Community,14
A07882,2024-01-16,Canada,Healthcare,6-20,Paid Search,PS_NonBrand,14
A09079,2024-01-16,Australia,Home Services,6-20,Partner,PART_Consultants,14
A05862,2024-01-16,Canada,Healthcare,21-50,Direct,DIR_None,14
A01729,2024-01-16,Australia,Retail,21-50,Organic Search,ORG_SEO,14
A04257,2024-01-16,United States,Technology,21-50,Referral,REF_Customer,14
A09205,2024-01-16,United States,Technology,1-5,Email,EML_Nurture,14
A00415,2024-01-16,Canada,Healthcare,21-50,Referral,REF_Customer,14
A04075,2024-01-16,United States,Healthcare,6-20,Referral,REF_Customer,14
A00795,2024-01-16,United Kingdom,Home Services,201+,Organic Search,ORG_SEO,14
A10789,2024-01-16,United States,Technology,1-5,Partner,PART_Consultants,14
A10668,2024-01-16,Australia,Education,6-20,Direct,DIR_None,14
A07810,2024-01-16,United States,Technology,201+,Paid Social,SOC_Prospecting,14
A03642,2024-01-16,Canada,Professional Services,21-50,Paid Search,PS_Competitor,14
A04542,2024-01-16,Canada,Healthcare,1-5,Paid Social,SOC_Video,14
A00972,2024-01-16,Canada,Technology,1-5,Paid Search,PS_NonBrand,14
A00650,2024-01-16,United States,Technology,201+,Paid Social,SOC_Video,14
A05373,2024-01-16,Canada,Retail,6-20,Partner,PART_Consultants,14
A09243,2024-01-16,United States,Technology,1-5,Organic Search,ORG_SEO,14
