touch_id,account_id,touch_date,channel,campaign_id,touch_position,touch_count
T0000117,A00059,2024-03-12,Paid Social,SOC_Retargeting,2,3
T0000118,A00059,2024-03-24,Paid Search,PS_Competitor,3,3
T0000119,A00060,2024-02-12,Referral,REF_Customer,1,3
T0000120,A00060,2024-02-18,Referral,REF_Customer,2,3
T0000121,A00060,2024-03-08,Paid Social,SOC_Retargeting,3,3
T0000122,A00061,2025-02-21,Paid Social,SOC_Retargeting,1,2
T0000123,A00061,2025-02-24,Organic Search,ORG_SEO,2,2
T0000124,A00062,2024-10-23,Organic Search,ORG_SEO,1,3
T0000125,A00062,2024-10-21,Referral,REF_Customer,2,3
T0000126,A00062,2024-10-28,Partner,PART_Community,3,3
T0000127,A00063,2024-12-25,Referral,REF_Customer,1,1
T0000128,A00064,2025-04-28,Partner,PART_Community,1,1
T0000129,A00065,2025-02-01,Paid Search,PS_Brand,1,1
T0000130,A00066,2024-12-17,Paid Social,SOC_Retargeting,1,1
T0000131,A00067,2024-12-09,Paid Search,PS_NonBrand,1,3
T0000132,A00067,2024-12-20,Paid Social,SOC_Prospecting,2,3
T0000133,A00067,2024-12-20,Organic Search,ORG_SEO,3,3
T0000134,A00068,2024-07-02,Organic Search,ORG_SEO,1,2
T0000135,A00068,2024-07-18,Email,EML_Nurture,2,2
T0000136,A00069,2024-01-13,Organic Search,ORG_SEO,1,1
T0000137,A00070,2024-10-05,Referral,REF_Customer,1,1
T0000138,A00071,2024-05-09,Partner,PART_Consultants,1,2
T0000139,A00071,2024-05-17,Referral,REF_Customer,2,2
T0000140,A00072,2024-08-24,Organic Search,ORG_SEO,1,3
T0000141,A00072,2024-09-20,Organic Search,ORG_SEO,2,3
T0000142,A00072,2024-09-21,Organic Search,ORG_SEO,3,3
T0000143,A00073,2025-06-03,Organic Search,ORG_SEO,1,3
T0000144,A00073,2025-06-06,Organic Search,ORG_SEO,2,3
T0000145,A00073,2025-06-30,Paid Search,PS_Brand,3,3
T0000146,A00074,2024-05-13,Referral,REF_Customer,1,3
T0000147,A00074,2024-05-14,Paid Social,SOC_Retargeting,2,3
T0000148,A00074,2024-05-28,Organic Search,ORG_SEO,3,3
T0000149,A00075,2024-01-20,Paid Search,PS_NonBrand,1,4
T0000150,A00075,2024-01-28,Organic Search,ORG_SEO,2,4
T0000151,A00075,2024-01-17,Email,EML_Reactivation,3,4
T0000152,A00075,2024-01-30,Paid Social,SOC_Retargeting,4,4
T0000153,A00076,2024-07-01,Email,EML_Reactivation,1,1
T0000154,A00077,2024-07-07,Paid Social,SOC_Video,1,1
T0000155,A00078,2025-02-08,Paid Social,SOC_Video,1,2
T0000156,A00078,2025-02-17,Email,EML_Reactivation,2,2
T0000157,A00079,2024-12-19,Organic Search,ORG_SEO,1,1
T0000158,A00080,2025-05-12,Paid Social,SOC_Video,1,2
T0000159,A00080,2025-05-14,Paid Search,PS_Brand,2,2
T0000160,A00081,2025-02-06,Partner,PART_Community,1,2
T0000161,A00081,2025-02-21,Direct,DIR_None,2,2
T0000162,A00082,2024-09-17,Direct,DIR_None,1,1
T0000163,A00083,2025-06-04,Paid Search,PS_Competitor,1,1
T0000164,A00084,2024-03-29,Paid Search,PS_NonBrand,1,3
T0000165,A00084,2024-04-01,Paid Social,SOC_Retargeting,2,3
T0000166,A00084,2024-04-12,Referral,REF_Customer,3,3
T0000167,A00085,2023-12-26,Organic Search,ORG_SEO,1,2
T0000168,A00085,2024-01-11,Direct,DIR_None,2,2
T0000169,A00086,2024-02-21,Partner,PART_Consultants,1,1
T0000170,A00087,2025-03-22,Paid Search,PS_Brand,1,3
T0000171,A00087,2025-03-04,Referral,REF_Customer,2,3
T0000172,A00087,2025-03-30,Referral,REF_Customer,3,3
T0000173,A00088,2024-10-18,Paid Search,PS_Competitor,1,4
T0000174,A00088,2024-10-02,Direct,DIR_None,2,4
T0000175,A00088,2024-10-07,Partner,PART_Consultants,3,4
T0000176,A00088,2024-10-22,Organic Search,ORG_SEO,4,4
T0000177,A00089,2024-03-16,Organic Search,ORG_SEO,1,2
T0000178,A00089,2024-04-08,Organic Search,ORG_SEO,2,2
T0000179,A00090,2024-11-13,Referral,REF_Customer,1,1
T0000180,A00091,2024-04-02,Paid Social,SOC_Prospecting,1,1
T0000181,A00092,2025-03-09,Email,EML_Nurture,1,3
T0000182,A00092,2025-03-04,Referral,REF_Customer,2,3
T0000183,A00092,2025-03-12,Paid Search,PS_Competitor,3,3
T0000184,A00093,2024-10-03,Organic Search,ORG_SEO,1,3
T0000185,A00093,2024-10-10,Paid Search,PS_NonBrand,2,3
T0000186,A00093,2024-10-14,Paid Search,PS_Brand,3,3
T0000187,A00094,2024-08-25,Paid Search,PS_Brand,1,2
T0000188,A00094,2024-09-04,Paid Search,PS_Competitor,2,2
T0000189,A00095,2024-07-15,Paid Social,SOC_Video,1,1
T0000190,A00096,2025-01-28,Paid Search,PS_Competitor,1,1
T0000191,A00097,2024-08-24,Paid Search,PS_Brand,1,1
T0000192,A00098,2024-01-22,Organic Search,ORG_SEO,1,2
T0000193,A00098,2024-02-17,Organic Search,ORG_SEO,2,2
T0000194,A00099,2024-03-12,Direct,DIR_None,1,1
T0000195,A00100,2025-08-31,Direct,DIR_None,1,3
T0000196,A00100,2025-08-14,Paid Social,SOC_Prospecting,2,3
T0000197,A00100,2025-09-11,Referral,REF_Customer,3,3
T0000198,A00101,2025-07-22,Paid Search,PS_NonBrand,1,3
T0000199,A00101,2025-08-07,Referral,REF_Customer,2,3
T0000200,A00101,2025-08-05,Organic Search,ORG_SEO,3,3
T0000201,A00102,2025-03-08,Organic Search,ORG_SEO,1,2
T0000202,A00102,2025-03-17,Paid Social,SOC_Retargeting,2,2
T0000203,A00103,2024-06-20,Paid Search,PS_Competitor,1,1
T0000204,A00104,2025-08-21,Email,EML_Nurture,1,2
T0000205,A00104,2025-09-12,Referral,REF_Customer,2,2
T0000206,A00105,2025-04-21,Organic Search,ORG_SEO,1,2
T0000207,A00105,2025-05-11,Referral,REF_Customer,2,2
T0000208,A00106,2025-03-27,Referral,REF_Customer,1,1
T0000209,A00107,2024-10-14,Referral,REF_Customer,1,1
T0000210,A00108,2024-06-24,Organic Search,ORG_SEO,1,1
T0000211,A00109,2024-02-24,Paid Search,PS_Brand,1,1
T0000212,A00110,2025-07-26,Direct,DIR_None,1,2
T0000213,A00110,2025-08-04,Organic Search,ORG_SEO,2,2
T0000214,A00111,2024-10-10,Paid Search,PS_Brand,1,3
T0000215,A00111,2024-10-14,Paid Search,PS_Competitor,2,3
T0000216,A00111,2024-10-19,Paid Social,SOC_Prospecting,3,3
T0000217,A00112,2024-04-10,Referral,REF_Customer,1,2
T0000218,A00112,2024-05-07,Paid Social,SOC_Video,2,2
T0000219,A00113,2024-07-18,Partner,PART_Community,1,1
T0000220,A00114,2025-01-01,Organic Search,ORG_SEO,1,1
T0000221,A00115,2024-04-20,Referral,REF_Customer,1,1
T0000222,A00116,2025-06-26,Paid Search,PS_Brand,1,2
T0000223,A00116,2025-07-02,Paid Search,PS_Competitor,2,2
T0000224,A00117,2025-04-25,Paid Search,PS_NonBrand,1,1
T0000225,A00118,2025-03-14,Referral,REF_Customer,1,2
T0000226,A00118,2025-03-28,Referral,REF_Customer,2,2
T0000227,A00119,2024-09-30,Paid Social,SOC_Prospecting,1,3
T0000228,A00119,2024-09-19,Organic Search,ORG_SEO,2,3
T0000229,A00119,2024-10-04,Organic Search,ORG_SEO,3,3
T0000230,A00120,2025-01-26,Paid Search,PS_NonBrand,1,1
T0000231,A00121,2025-01-03,Paid Search,PS_Brand,1,1
T0000232,A00122,2025-01-31,Partner,PART_Consultants,1,2
T0000233,A00122,2025-02-10,Referral,REF_Customer,2,2
T0000234,A00123,2024-02-11,Organic Search,ORG_SEO,1,2
T0000235,A00123,2024-02-16,Organic Search,ORG_SEO,2,2
T0000236,A00124,2024-09-22,Email,EML_Nurture,1,1
T0000237,A00125,2024-01-02,Referral,REF_Customer,1,2
T0000238,A00125,2024-01-22,Email,EML_Reactivation,2,2
T0000239,A00126,2024-10-19,Paid Search,PS_Brand,1,2
T0000240,A00126,2024-11-11,Direct,DIR_None,2,2
T0000241,A00127,2024-07-08,Paid Search,PS_NonBrand,1,2
T0000242,A00127,2024-08-03,Paid Search,PS_NonBrand,2,2
T0000243,A00128,2024-03-27,Referral,REF_Customer,1,1
T0000244,A00129,2024-02-10,Organic Search,ORG_SEO,1,4
T0000245,A00129,2024-02-28,Referral,REF_Customer,2,4
T0000246,A00129,2024-02-11,Organic Search,ORG_SEO,3,4
T0000247,A00129,2024-02-28,Organic Search,ORG_SEO,4,4
T0000248,A00130,2025-01-04,Direct,DIR_None,1,1
T0000249,A00131,2024-03-27,Partner,PART_Community,1,2
T0000250,A00131,2024-04-17,Paid Social,SOC_Video,2,2
T0000251,A00132,2025-08-01,Paid Social,SOC_Retargeting,1,3
T0000252,A00132,2025-08-19,Email,EML_Nurture,2,3
T0000253,A00132,2025-08-18,Organic Search,ORG_SEO,3,3
T0000254,A00133,2024-12-22,Paid Social,SOC_Prospecting,1,3
T0000255,A00133,2024-12-12,Direct,DIR_None,2,3
T0000256,A00133,2025-01-01,Paid Search,PS_Brand,3,3
T0000257,A00134,2024-08-15,Direct,DIR_None,1,1
T0000258,A00135,2025-01-06,Organic Search,ORG_SEO,1,2
T0000259,A00135,2025-01-06,Direct,DIR_None,2,2
T0000260,A00136,2024-01-11,Paid Social,SOC_Video,1,1
T0000261,A00137,2025-09-01,Paid Social,SOC_Video,1,3
T0000262,A00137,2025-08-14,Referral,REF_Customer,2,3
T0000263,A00137,2025-09-06,Paid Social,SOC_Prospecting,3,3
T0000264,A00138,2024-11-06,Email,EML_Nurture,1,2
T0000265,A00138,2024-11-04,Partner,PART_Consultants,2,2
T0000266,A00139,2025-05-12,Direct,DIR_None,1,1
T0000267,A00140,2024-02-12,Organic Search,ORG_SEO,1,2
T0000268,A00140,2024-02-15,Partner,PART_Consultants,2,2
T0000269,A00141,2024-10-23,Direct,DIR_None,1,2
T0000270,A00141,2024-11-08,Paid Search,PS_Brand,2,2
T0000271,A00142,2024-11-06,Direct,DIR_None,1,3
T0000272,A00142,2024-10-15,Paid Search,PS_NonBrand,2,3
T0000273,A00142,2024-11-09,Referral,REF_Customer,3,3
T0000274,A00143,2025-08-27,Direct,DIR_None,1,1
T0000275,A00144,2024-12-29,Paid Social,SOC_Prospecting,1,2
T0000276,A00144,2024-12-30,Organic Search,ORG_SEO,2,2
T0000277,A00145,2024-10-28,Paid Search,PS_NonBrand,1,2
T0000278,A00145,2024-11-01,Paid Search,PS_Brand,2,2
T0000279,A00146,2024-06-13,Organic Search,ORG_SEO,1,4
T0000280,A00146,2024-05-30,Referral,REF_Customer,2,4
T0000281,A00146,2024-06-01,Email,EML_Nurture,3,4
T0000282,A00146,2024-06-21,Organic Search,ORG_SEO,4,4
T0000283,A00147,2024-08-04,Paid Search,PS_NonBrand,1,1
T0000284,A00148,2024-11-23,Partner,PART_Consultants,1,1
T0000285,A00149,2024-09-17,Organic Search,ORG_SEO,1,3
T0000286,A00149,2024-09-21,Organic Search,ORG_SEO,2,3
T0000287,A00149,2024-10-06,Organic Search,ORG_SEO,3,3
T0000288,A00150,2024-01-10,Paid Social,SOC_Prospecting,1,1
T0000289,A00151,2025-05-26,Paid Search,PS_Brand,1,2
T0000290,A00151,2025-06-13,Organic Search,ORG_SEO,2,2
T0000291,A00152,2025-07-11,Paid Search,PS_Competitor,1,2
T0000292,A00152,2025-07-29,Direct,DIR_None,2,2
T0000293,A00153,2024-03-07,Referral,REF_Customer,1,2
T0000294,A00153,2024-03-27,Direct,DIR_None,2,2
T0000295,A00154,2024-11-25,Direct,DIR_None,1,2
T0000296,A00154,2024-12-16,Paid Social,SOC_Video,2,2
T0000297,A00155,2024-02-06,Paid Social,SOC_Retargeting,1,3
T0000298,A00155,2024-02-25,Referral,REF_Customer,2,3
T0000299,A00155,2024-03-03,Referral,REF_Customer,3,3
T0000300,A00156,2025-02-17,Partner,PART_Consultants,1,2
T0000301,A00156,2025-02-27,Organic Search,ORG_SEO,2,2
T0000302,A00157,2024-06-17,Paid Search,PS_Competitor,1,2
T0000303,A00157,2024-07-02,Direct,DIR_None,2,2
T0000304,A00158,2025-01-21,Paid Search,PS_Brand,1,4
T0000305,A00158,2025-01-22,Partner,PART_Consultants,2,4
T0000306,A00158,2025-02-18,Referral,REF_Customer,3,4
T0000307,A00158,2025-02-17,Referral,REF_Customer,4,4
T0000308,A00159,2025-03-31,Paid Social,SOC_Video,1,2
T0000309,A00159,2025-04-03,Organic Search,ORG_SEO,2,2
T0000310,A00160,2025-04-16,Paid Search,PS_NonBrand,1,3
T0000311,A00160,2025-04-27,Paid Social,SOC_Prospecting,2,3
T0000312,A00160,2025-05-02,Email,EML_Nurture,3,3
T0000313,A00161,2024-03-02,Paid Search,PS_NonBrand,1,3
T0000314,A00161,2024-02-19,Organic Search,ORG_SEO,2,3
T0000315,A00161,2024-03-04,Organic Search,ORG_SEO,3,3
T0000316,A00162,2025-08-12,Referral,REF_Customer,1,1
T0000317,A00163,2024-05-24,Paid Social,SOC_Prospecting,1,2
T0000318,A00163,2024-05-25,Organic Search,ORG_SEO,2,2
T0000319,A00164,2024-01-18,Referral,REF_Customer,1,1
T0000320,A00165,2024-12-18,Organic Search,ORG_SEO,1,1
T0000321,A00166,2024-08-30,Email,EML_Nurture,1,2
T0000322,A00166,2024-08-30,Organic Search,ORG_SEO,2,2
T0000323,A00167,2025-06-12,Organic Search,ORG_SEO,1,2
T0000324,A00167,2025-06-15,Paid Social,SOC_Retargeting,2,2
T0000325,A00168,2025-05-19,Organic Search,ORG_SEO,1,3
T0000326,A00168,2025-05-02,Email,EML_Nurture,2,3
T0000327,A00168,2025-05-31,Email,EML_Nurture,3,3
T0000328,A00169,2024-06-29,Organic Search,ORG_SEO,1,4
T0000329,A00169,2024-07-24,Paid Social,SOC_Prospecting,2,4
T0000330,A00169,2024-07-17,Paid Social,SOC_Prospecting,3,4
T0000331,A00169,2024-07-26,Paid Search,PS_Brand,4,4
T0000332,A00170,2025-08-16,Organic Search,ORG_SEO,1,2
T0000333,A00170,2025-09-03,Referral,REF_Customer,2,2
T0000334,A00171,2024-06-14,Direct,DIR_None,1,3
T0000335,A00171,2024-06-20,Organic Search,ORG_SEO,2,3
T0000336,A00171,2024-07-09,Paid Social,SOC_Prospecting,3,3
T0000337,A00172,2024-11-16,Paid Social,SOC_Retargeting,1,2
T0000338,A00172,2024-11-20,Direct,DIR_None,2,2
T0000339,A00173,2024-05-25,Organic Search,ORG_SEO,1,2
T0000340,A00173,2024-06-13,Paid Search,PS_Competitor,2,2
T0000341,A00174,2025-08-27,Paid Search,PS_NonBrand,1,2
T0000342,A00174,2025-08-27,Paid Social,SOC_Prospecting,2,2
T0000343,A00175,2024-04-11,Email,EML_Nurture,1,1
T0000344,A00176,2024-01-16,Paid Social,SOC_Video,1,3
T0000345,A00176,2023-12-27,Referral,REF_Customer,2,3
T0000346,A00176,2024-01-21,Paid Search,PS_Brand,3,3
T0000347,A00177,2024-10-03,Paid Social,SOC_Prospecting,1,1
T0000348,A00178,2025-09-24,Direct,DIR_None,1,1
T0000349,A00179,2025-07-05,Paid Search,PS_Competitor,1,2
T0000350,A00179,2025-07-25,Paid Search,PS_Competitor,2,2
T0000351,A00180,2025-04-18,Paid Search,PS_Competitor,1,1
T0000352,A00181,2025-07-27,Organic Search,ORG_SEO,1,3
T0000353,A00181,2025-07-12,Paid Social,SOC_Video,2,3
T0000354,A00181,2025-07-27,Paid Search,PS_Competitor,3,3
T0000355,A00182,2025-07-11,Direct,DIR_None,1,2
T0000356,A00182,2025-07-29,Direct,DIR_None,2,2
T0000357,A00183,2024-11-22,Partner,PART_Community,1,2
T0000358,A00183,2024-11-24,Email,EML_Nurture,2,2
T0000359,A00184,2024-07-25,Referral,REF_Customer,1,1
T0000360,A00185,2025-04-19,Paid Social,SOC_Retargeting,1,3
T0000361,A00185,2025-04-08,Paid Search,PS_NonBrand,2,3
T0000362,A00185,2025-05-03,Referral,REF_Customer,3,3
T0000363,A00186,2025-02-18,Direct,DIR_None,1,4
T0000364,A00186,2025-01-25,Paid Search,PS_Competitor,2,4
T0000365,A00186,2025-01-21,Paid Search,PS_Brand,3,4
T0000366,A00186,2025-02-18,Paid Search,PS_Brand,4,4
T0000367,A00187,2024-09-02,Organic Search,ORG_SEO,1,1
T0000368,A00188,2024-02-03,Referral,REF_Customer,1,3
T0000369,A00188,2024-02-10,Direct,DIR_None,2,3
T0000370,A00188,2024-02-22,Organic Search,ORG_SEO,3,3
T0000371,A00189,2025-03-29,Organic Search,ORG_SEO,1,2
T0000372,A00189,2025-04-18,Organic Search,ORG_SEO,2,2
T0000373,A00190,2024-06-12,Email,EML_Reactivation,1,3
T0000374,A00190,2024-05-24,Paid Social,SOC_Prospecting,2,3
T0000375,A00190,2024-06-17,Organic Search,ORG_SEO,3,3
T0000376,A00191,2025-08-27,Referral,REF_Customer,1,1
T0000377,A00192,2024-05-18,Paid Search,PS_NonBrand,1,2
T0000378,A00192,2024-06-03,Organic Search,ORG_SEO,2,2
T0000379,A00193,2024-03-10,Organic Search,ORG_SEO,1,4
T0000380,A00193,2024-03-10,Paid Search,PS_Competitor,2,4
T0000381,A00193,2024-03-06,Partner,PART_Community,3,4
T0000382,A00193,2024-03-12,Organic Search,ORG_SEO,4,4
T0000383,A00194,2025-05-28,Paid Social,SOC_Retargeting,1,4
T0000384,A00194,2025-06-10,Direct,DIR_None,2,4
T0000385,A00194,2025-06-13,Paid Search,PS_NonBrand,3,4
T0000386,A00194,2025-06-13,Paid Search,PS_Brand,4,4
T0000387,A00195,2024-03-15,Direct,DIR_None,1,4
T0000388,A00195,2024-03-23,Direct,DIR_None,2,4
T0000389,A00195,2024-03-17,Direct,DIR_None,3,4
T0000390,A00195,2024-04-04,Paid Search,PS_Competitor,4,4
T0000391,A00196,2024-04-02,Paid Social,SOC_Video,1,2
T0000392,A00196,2024-04-20,Organic Search,ORG_SEO,2,2
T0000393,A00197,2025-01-09,Paid Social,SOC_Video,1,2
T0000394,A00197,2025-01-13,Organic Search,ORG_SEO,2,2
T0000395,A00198,2025-07-16,Paid Search,PS_Brand,1,1
T0000396,A00199,2024-04-13,Organic Search,ORG_SEO,1,4
T0000397,A00199,2024-04-22,Email,EML_Nurture,2,4
T0000398,A00199,2024-04-27,Direct,DIR_None,3,4
T0000399,A00199,2024-05-03,Paid Social,SOC_Video,4,4
T0000400,A00200,2024-07-22,Partner,PART_Consultants,1,1
T0000401,A00201,2025-04-23,Direct,DIR_None,1,2
T0000402,A00201,2025-05-07,Direct,DIR_None,2,2
T0000403,A00202,2025-08-28,Paid Search,PS_NonBrand,1,3
T0000404,A00202,2025-09-12,Organic Search,ORG_SEO,2,3
T0000405,A00202,2025-09-15,Partner,PART_Consultants,3,3
T0000406,A00203,2024-11-08,Referral,REF_Customer,1,2
T0000407,A00203,2024-11-13,Referral,REF_Customer,2,2
T0000408,A00204,2024-03-18,Referral,REF_Customer,1,2
T0000409,A00204,2024-03-28,Direct,DIR_None,2,2
T0000410,A00205,2023-12-17,Referral,REF_Customer,1,2
T0000411,A00205,2024-01-06,Paid Social,SOC_Retargeting,2,2
T0000412,A00206,2024-05-24,Paid Social,SOC_Video,1,3
T0000413,A00206,2024-05-26,Direct,DIR_None,2,3
T0000414,A00206,2024-05-26,Referral,REF_Customer,3,3
T0000415,A00207,2024-03-02,Paid Social,SOC_Retargeting,1,2
T0000416,A00207,2024-03-18,Paid Search,PS_Competitor,2,2
T0000417,A00208,2025-03-02,Paid Search,PS_NonBrand,1,1
T0000418,A00209,2024-03-12,Partner,PART_Consultants,1,2
T0000419,A00209,2024-03-12,Paid Search,PS_NonBrand,2,2
T0000420,A00210,2024-11-17,Organic Search,ORG_SEO,1,1
T0000421,A00211,2025-03-04,Paid Search,PS_Competitor,1,2
T0000422,A00211,2025-03-13,Partner,PART_Consultants,2,2
T0000423,A00212,2025-01-03,Organic Search,ORG_SEO,1,1
