invoice_id,account_id,invoice_date,amount,payment_status
I0000052,A00015,2024-11-28,49.0,paid
I0000053,A00015,2024-12-28,49.0,paid
I0000054,A00015,2025-01-28,49.0,paid
I0000055,A00016,2024-06-18,249.0,paid
I0000056,A00016,2024-07-18,249.0,paid
I0000057,A00016,2024-08-18,249.0,paid
I0000058,A00016,2024-09-18,249.0,paid
I0000059,A00016,2024-10-18,249.0,paid
I0000060,A00018,2024-02-29,49.0,paid
I0000061,A00018,2024-03-29,49.0,paid
I0000062,A00018,2024-04-29,49.0,paid
I0000063,A00018,2024-05-29,49.0,paid
I0000064,A00020,2025-02-12,49.0,paid
I0000065,A00022,2024-08-28,99.0,paid
I0000066,A00023,2025-09-20,49.0,paid
I0000067,A00023,2025-10-20,49.0,paid
I0000068,A00023,2025-11-20,49.0,paid
I0000069,A00023,2025-12-20,49.0,paid
I0000070,A00023,2026-01-20,49.0,paid
I0000071,A00023,2026-02-20,49.0,paid
I0000072,A00023,2026-03-20,49.0,paid
I0000073,A00026,2024-05-19,49.0,paid
I0000074,A00026,2024-06-19,49.0,paid
I0000075,A00026,2024-07-19,49.0,paid
I0000076,A00026,2024-08-19,49.0,paid
I0000077,A00026,2024-09-19,49.0,paid
I0000078,A00026,2024-10-19,49.0,paid
I0000079,A00026,2024-11-19,49.0,paid
I0000080,A00026,2024-12-19,49.0,paid
I0000081,A00026,2025-01-19,49.0,paid
I0000082,A00026,2025-02-19,49.0,paid
I0000083,A00026,2025-03-19,49.0,paid
I0000084,A00026,2025-04-19,49.0,paid
I0000085,A00026,2025-05-19,49.0,paid
I0000086,A00026,2025-06-19,49.0,paid
I0000087,A00026,2025-07-19,49.0,paid
I0000088,A00026,2025-08-19,49.0,paid
I0000089,A00026,2025-09-19,49.0,paid
I0000090,A00026,2025-10-19,49.0,paid
I0000091,A00026,2025-11-19,49.0,paid
I0000092,A00026,2025-12-19,49.0,paid
I0000093,A00026,2026-01-19,49.0,paid
I0000094,A00028,2024-02-09,49.0,paid
I0000095,A00028,2024-03-09,49.0,paid
I0000096,A00028,2024-04-09,49.0,paid
I0000097,A00028,2024-05-09,49.0,paid
I0000098,A00031,2025-04-24,49.0,paid
I0000099,A00031,2025-05-24,49.0,paid
I0000100,A00031,2025-06-24,49.0,paid
I0000101,A00031,2025-07-24,49.0,paid
I0000102,A00031,2025-08-24,49.0,paid
I0000103,A00031,2025-09-24,49.0,paid
I0000104,A00031,2025-10-24,49.0,paid
I0000105,A00031,2025-11-24,49.0,paid
I0000106,A00031,2025-12-24,49.0,paid
I0000107,A00033,2024-08-06,249.0,paid
I0000108,A00033,2024-09-06,249.0,paid
I0000109,A00033,2024-10-06,249.0,paid
I0000110,A00033,2024-11-06,249.0,paid
I0000111,A00033,2024-12-06,249.0,paid
I0000112,A00033,2025-01-06,249.0,paid
I0000113,A00033,2025-02-06,249.0,paid
I0000114,A00033,2025-03-06,249.0,paid
I0000115,A00033,2025-04-06,249.0,paid
I0000116,A00033,2025-05-06,249.0,paid
I0000117,A00033,2025-06-06,249.0,paid
I0000118,A00033,2025-07-06,249.0,paid
I0000119,A00033,2025-08-06,249.0,paid
I0000120,A00033,2025-09-06,249.0,paid
I0000121,A00033,2025-10-06,249.0,paid
I0000122,A00033,2025-11-06,249.0,paid
I0000123,A00033,2025-12-06,249.0,paid
I0000124,A00033,2026-01-06,249.0,paid
I0000125,A00033,2026-02-06,249.0,paid
I0000126,A00033,2026-03-06,249.0,paid
I0000127,A00036,2024-05-16,49.0,paid
I0000128,A00036,2024-06-16,49.0,paid
I0000129,A00036,2024-07-16,49.0,paid
I0000130,A00036,2024-08-16,49.0,paid
I0000131,A00036,2024-09-16,49.0,paid
I0000132,A00036,2024-10-16,49.0,paid
I0000133,A00036,2024-11-16,49.0,paid
I0000134,A00039,2024-06-12,99.0,paid
I0000135,A00039,2024-07-12,99.0,paid
I0000136,A00039,2024-08-12,99.0,paid
I0000137,A00039,2024-09-12,99.0,paid
I0000138,A00039,2024-10-12,99.0,paid
I0000139,A00039,2024-11-12,99.0,paid
I0000140,A00039,2024-12-12,99.0,paid
I0000141,A00039,2025-01-12,99.0,paid
I0000142,A00039,2025-02-12,99.0,paid
I0000143,A00039,2025-03-12,99.0,paid
I0000144,A00039,2025-04-12,99.0,paid
I0000145,A00039,2025-05-12,99.0,paid
I0000146,A00039,2025-06-12,99.0,paid
I0000147,A00039,2025-07-12,99.0,paid
I0000148,A00039,2025-08-12,99.0,paid
I0000149,A00039,2025-09-12,99.0,paid
I0000150,A00039,2025-10-12,99.0,paid
I0000151,A00039,2025-11-12,99.0,paid
I0000152,A00039,2025-12-12,99.0,paid
I0000153,A00039,2026-01-12,99.0,paid
I0000154,A00039,2026-02-12,99.0,paid
I0000155,A00039,2026-03-12,99.0,paid
I0000156,A00043,2025-03-24,99.0,paid
I0000157,A00046,2025-06-06,49.0,paid
I0000158,A00046,2025-07-06,49.0,paid
I0000159,A00046,2025-08-06,49.0,paid
I0000160,A00046,2025-09-06,49.0,paid
I0000161,A00046,2025-10-06,49.0,paid
I0000162,A00046,2025-11-06,49.0,paid
I0000163,A00046,2025-12-06,49.0,paid
I0000164,A00046,2026-01-06,49.0,paid
I0000165,A00046,2026-02-06,49.0,paid
I0000166,A00046,2026-03-06,49.0,paid
I0000167,A00047,2024-09-16,99.0,paid
I0000168,A00047,2024-10-16,99.0,paid
I0000169,A00047,2024-11-16,99.0,paid
I0000170,A00047,2024-12-16,99.0,paid
I0000171,A00047,2025-01-16,99.0,paid
I0000172,A00047,2025-02-16,99.0,paid
I0000173,A00047,2025-03-16,99.0,paid
I0000174,A00047,2025-04-16,99.0,paid
I0000175,A00047,2025-05-16,99.0,paid
I0000176,A00047,2025-06-16,99.0,paid
I0000177,A00047,2025-07-16,99.0,paid
I0000178,A00047,2025-08-16,99.0,paid
I0000179,A00047,2025-09-16,99.0,paid
I0000180,A00047,2025-10-16,99.0,paid
I0000181,A00047,2025-11-16,99.0,paid
I0000182,A00047,2025-12-16,99.0,paid
I0000183,A00047,2026-01-16,99.0,paid
I0000184,A00047,2026-02-16,99.0,paid
I0000185,A00047,2026-03-16,99.0,paid
I0000186,A00049,2025-03-11,49.0,paid
I0000187,A00049,2025-04-11,49.0,paid
I0000188,A00050,2024-04-06,99.0,paid
I0000189,A00050,2024-05-06,99.0,paid
I0000190,A00050,2024-06-06,99.0,paid
I0000191,A00050,2024-07-06,99.0,paid
I0000192,A00050,2024-08-06,99.0,paid
I0000193,A00053,2025-05-26,99.0,paid
I0000194,A00053,2025-06-26,99.0,paid
I0000195,A00053,2025-07-26,99.0,paid
I0000196,A00053,2025-08-26,99.0,paid
I0000197,A00053,2025-09-26,99.0,paid
I0000198,A00053,2025-10-26,99.0,paid
I0000199,A00053,2025-11-26,99.0,paid
I0000200,A00053,2025-12-26,99.0,paid
I0000201,A00053,2026-01-26,99.0,paid
I0000202,A00053,2026-02-26,99.0,paid
I0000203,A00053,2026-03-26,99.0,paid
I0000204,A00055,2025-03-31,249.0,paid
I0000205,A00055,2025-04-30,249.0,paid
I0000206,A00055,2025-05-31,249.0,paid
I0000207,A00055,2025-06-30,249.0,paid
I0000208,A00055,2025-07-31,249.0,paid
I0000209,A00055,2025-08-31,249.0,paid
I0000210,A00055,2025-09-30,249.0,paid
I0000211,A00055,2025-10-31,249.0,paid
I0000212,A00055,2025-11-30,249.0,paid
I0000213,A00055,2025-12-31,249.0,paid
I0000214,A00055,2026-01-31,249.0,paid
I0000215,A00055,2026-02-28,249.0,paid
I0000216,A00055,2026-03-31,249.0,paid
I0000217,A00056,2025-05-26,49.0,paid
I0000218,A00056,2025-06-26,49.0,paid
I0000219,A00056,2025-07-26,49.0,paid
I0000220,A00056,2025-08-26,49.0,paid
I0000221,A00059,2024-04-10,99.0,paid
I0000222,A00059,2024-05-10,99.0,paid
I0000223,A00059,2024-06-10,99.0,paid
I0000224,A00059,2024-07-10,99.0,paid
I0000225,A00059,2024-08-10,99.0,paid
I0000226,A00062,2024-11-10,99.0,paid
I0000227,A00062,2024-12-10,99.0,paid
I0000228,A00062,2025-01-10,99.0,paid
I0000229,A00062,2025-02-10,99.0,paid
I0000230,A00062,2025-03-10,99.0,paid
I0000231,A00062,2025-04-10,99.0,paid
I0000232,A00062,2025-05-10,99.0,paid
I0000233,A00062,2025-06-10,99.0,paid
I0000234,A00062,2025-07-10,99.0,paid
I0000235,A00062,2025-08-10,99.0,paid
I0000236,A00062,2025-09-10,99.0,paid
I0000237,A00062,2025-10-10,99.0,paid
I0000238,A00062,2025-11-10,99.0,paid
I0000239,A00062,2025-12-10,99.0,paid
I0000240,A00062,2026-01-10,99.0,paid
I0000241,A00062,2026-02-10,99.0,paid
I0000242,A00062,2026-03-10,99.0,paid
I0000243,A00063,2025-01-02,49.0,paid
I0000244,A00063,2025-02-02,49.0,paid
I0000245,A00063,2025-03-02,49.0,paid
I0000246,A00063,2025-04-02,49.0,paid
I0000247,A00063,2025-05-02,49.0,paid
I0000248,A00063,2025-06-02,49.0,paid
I0000249,A00063,2025-07-02,49.0,paid
I0000250,A00063,2025-08-02,49.0,paid
I0000251,A00063,2025-09-02,49.0,paid
I0000252,A00063,2025-10-02,49.0,paid
I0000253,A00063,2025-11-02,49.0,paid
I0000254,A00063,2025-12-02,49.0,paid
I0000255,A00063,2026-01-02,49.0,paid
I0000256,A00063,2026-02-02,49.0,paid
I0000257,A00063,2026-03-02,49.0,paid
I0000258,A00067,2025-01-03,99.0,paid
I0000259,A00068,2024-07-30,49.0,paid
I0000260,A00068,2024-08-30,49.0,paid
I0000261,A00068,2024-09-30,49.0,paid
I0000262,A00068,2024-10-30,49.0,paid
I0000263,A00069,2024-01-27,49.0,paid
I0000264,A00069,2024-02-27,49.0,paid
I0000265,A00069,2024-03-27,49.0,paid
I0000266,A00069,2024-04-27,49.0,paid
I0000267,A00069,2024-05-27,49.0,paid
I0000268,A00071,2024-05-31,49.0,paid
I0000269,A00071,2024-06-30,49.0,paid
I0000270,A00071,2024-07-31,49.0,paid
I0000271,A00071,2024-08-31,49.0,paid
I0000272,A00071,2024-09-30,49.0,paid
I0000273,A00071,2024-10-31,49.0,paid
I0000274,A00071,2024-11-30,49.0,paid
I0000275,A00071,2024-12-31,49.0,paid
I0000276,A00071,2025-01-31,49.0,paid
I0000277,A00071,2025-02-28,49.0,paid
I0000278,A00071,2025-03-31,49.0,paid
I0000279,A00071,2025-04-30,49.0,paid
I0000280,A00071,2025-05-31,49.0,paid
I0000281,A00071,2025-06-30,49.0,paid
I0000282,A00071,2025-07-31,49.0,paid
I0000283,A00071,2025-08-31,49.0,paid
I0000284,A00071,2025-09-30,49.0,paid
I0000285,A00071,2025-10-31,49.0,paid
I0000286,A00071,2025-11-30,49.0,paid
I0000287,A00071,2025-12-31,49.0,paid
I0000288,A00071,2026-01-31,49.0,paid
I0000289,A00071,2026-02-28,49.0,paid
I0000290,A00071,2026-03-31,49.0,paid
I0000291,A00075,2024-02-13,49.0,paid
I0000292,A00075,2024-03-13,49.0,paid
I0000293,A00078,2025-03-08,99.0,paid
I0000294,A00078,2025-04-08,99.0,paid
I0000295,A00078,2025-05-08,99.0,paid
I0000296,A00078,2025-06-08,99.0,paid
I0000297,A00078,2025-07-08,99.0,paid
I0000298,A00078,2025-08-08,99.0,paid
I0000299,A00078,2025-09-08,99.0,paid
I0000300,A00078,2025-10-08,99.0,paid
I0000301,A00078,2025-11-08,99.0,paid
I0000302,A00078,2025-12-08,99.0,paid
I0000303,A00078,2026-01-08,99.0,paid
I0000304,A00078,2026-02-08,99.0,paid
I0000305,A00078,2026-03-08,99.0,paid
I0000306,A00081,2025-03-01,49.0,paid
I0000307,A00081,2025-04-01,49.0,paid
I0000308,A00081,2025-05-01,49.0,paid
I0000309,A00081,2025-06-01,49.0,paid
I0000310,A00081,2025-07-01,49.0,paid
I0000311,A00081,2025-08-01,49.0,paid
I0000312,A00081,2025-09-01,49.0,paid
I0000313,A00081,2025-10-01,49.0,paid
I0000314,A00081,2025-11-01,49.0,paid
I0000315,A00081,2025-12-01,49.0,paid
I0000316,A00081,2026-01-01,49.0,paid
I0000317,A00081,2026-02-01,49.0,paid
I0000318,A00081,2026-03-01,49.0,paid
I0000319,A00085,2024-01-28,49.0,paid
I0000320,A00085,2024-02-28,49.0,paid
I0000321,A00085,2024-03-28,49.0,paid
I0000322,A00085,2024-04-28,49.0,paid
I0000323,A00085,2024-05-28,49.0,paid
I0000324,A00085,2024-06-28,49.0,paid
I0000325,A00085,2024-07-28,49.0,paid
I0000326,A00085,2024-08-28,49.0,paid
I0000327,A00086,2024-02-25,49.0,paid
I0000328,A00086,2024-03-25,49.0,paid
I0000329,A00086,2024-04-25,49.0,paid
I0000330,A00086,2024-05-25,49.0,paid
I0000331,A00086,2024-06-25,49.0,paid
I0000332,A00086,2024-07-25,49.0,paid
I0000333,A00086,2024-08-25,49.0,paid
I0000334,A00086,2024-09-25,49.0,paid
I0000335,A00086,2024-10-25,49.0,paid
I0000336,A00086,2024-11-25,49.0,paid
I0000337,A00086,2024-12-25,49.0,paid
I0000338,A00086,2025-01-25,49.0,paid
I0000339,A00086,2025-02-25,49.0,paid
I0000340,A00086,2025-03-25,49.0,paid
I0000341,A00086,2025-04-25,49.0,paid
I0000342,A00086,2025-05-25,49.0,paid
I0000343,A00086,2025-06-25,49.0,paid
I0000344,A00086,2025-07-25,49.0,paid
I0000345,A00086,2025-08-25,49.0,paid
I0000346,A00086,2025-09-25,49.0,paid
I0000347,A00086,2025-10-25,49.0,paid
I0000348,A00086,2025-11-25,49.0,paid
I0000349,A00086,2025-12-25,49.0,paid
I0000350,A00086,2026-01-25,49.0,paid
I0000351,A00086,2026-02-25,49.0,paid
I0000352,A00086,2026-03-25,49.0,paid
I0000353,A00089,2024-04-21,49.0,paid
I0000354,A00089,2024-05-21,49.0,paid
I0000355,A00089,2024-06-21,49.0,paid
I0000356,A00089,2024-07-21,49.0,paid
I0000357,A00089,2024-08-21,49.0,paid
I0000358,A00089,2024-09-21,49.0,paid
I0000359,A00089,2024-10-21,49.0,paid
I0000360,A00089,2024-11-21,49.0,paid
I0000361,A00089,2024-12-21,49.0,paid
I0000362,A00089,2025-01-21,49.0,paid
I0000363,A00089,2025-02-21,49.0,paid
I0000364,A00089,2025-03-21,49.0,paid
I0000365,A00089,2025-04-21,49.0,paid
I0000366,A00089,2025-05-21,49.0,paid
I0000367,A00089,2025-06-21,49.0,paid
I0000368,A00092,2025-03-25,249.0,paid
I0000369,A00092,2025-04-25,249.0,paid
I0000370,A00092,2025-05-25,249.0,paid
I0000371,A00092,2025-06-25,249.0,paid
I0000372,A00092,2025-07-25,249.0,paid
I0000373,A00092,2025-08-25,249.0,paid
I0000374,A00093,2024-10-20,99.0,paid
I0000375,A00093,2024-11-20,99.0,paid
I0000376,A00093,2024-12-20,99.0,paid
I0000377,A00093,2025-01-20,99.0,paid
I0000378,A00093,2025-02-20,99.0,paid
I0000379,A00093,2025-03-20,99.0,paid
I0000380,A00093,2025-04-20,99.0,paid
I0000381,A00093,2025-05-20,99.0,paid
I0000382,A00093,2025-06-20,99.0,paid
I0000383,A00093,2025-07-20,99.0,paid
I0000384,A00093,2025-08-20,99.0,paid
I0000385,A00093,2025-09-20,99.0,paid
I0000386,A00093,2025-10-20,99.0,paid
I0000387,A00094,2024-09-18,49.0,paid
I0000388,A00094,2024-10-18,49.0,paid
I0000389,A00095,2024-07-25,49.0,paid
I0000390,A00095,2024-08-25,49.0,paid
I0000391,A00095,2024-09-25,49.0,paid
I0000392,A00095,2024-10-25,49.0,paid
I0000393,A00095,2024-11-25,49.0,paid
I0000394,A00095,2024-12-25,49.0,paid
I0000395,A00095,2025-01-25,49.0,paid
I0000396,A00095,2025-02-25,49.0,paid
I0000397,A00095,2025-03-25,49.0,paid
I0000398,A00100,2025-09-23,99.0,paid
I0000399,A00100,2025-10-23,99.0,paid
I0000400,A00100,2025-11-23,99.0,paid
I0000401,A00100,2025-12-23,99.0,paid
I0000402,A00100,2026-01-23,99.0,paid
I0000403,A00100,2026-02-23,99.0,paid
I0000404,A00100,2026-03-23,99.0,paid
I0000405,A00101,2025-09-05,49.0,paid
I0000406,A00101,2025-10-05,49.0,paid
I0000407,A00101,2025-11-05,49.0,paid
I0000408,A00102,2025-04-11,49.0,paid
I0000409,A00102,2025-05-11,49.0,paid
I0000410,A00105,2025-05-19,249.0,paid
I0000411,A00105,2025-06-19,249.0,paid
I0000412,A00105,2025-07-19,249.0,paid
I0000413,A00105,2025-08-19,249.0,paid
I0000414,A00105,2025-09-19,249.0,paid
I0000415,A00106,2025-04-15,49.0,paid
I0000416,A00106,2025-05-15,49.0,paid
I0000417,A00106,2025-06-15,49.0,paid
I0000418,A00106,2025-07-15,49.0,paid
I0000419,A00106,2025-08-15,49.0,paid
I0000420,A00106,2025-09-15,49.0,paid
I0000421,A00106,2025-10-15,49.0,paid
I0000422,A00106,2025-11-15,49.0,paid
I0000423,A00106,2025-12-15,49.0,paid
I0000424,A00106,2026-01-15,49.0,paid
I0000425,A00106,2026-02-15,49.0,paid
I0000426,A00106,2026-03-15,49.0,paid
I0000427,A00108,2024-07-07,49.0,paid
I0000428,A00108,2024-08-07,49.0,paid
I0000429,A00108,2024-09-07,49.0,paid
I0000430,A00108,2024-10-07,49.0,paid
I0000431,A00108,2024-11-07,49.0,paid
I0000432,A00108,2024-12-07,49.0,paid
I0000433,A00108,2025-01-07,49.0,paid
I0000434,A00108,2025-02-07,49.0,paid
I0000435,A00108,2025-03-07,49.0,paid
I0000436,A00108,2025-04-07,49.0,paid
I0000437,A00113,2024-08-15,249.0,paid
I0000438,A00113,2024-09-15,249.0,paid
I0000439,A00113,2024-10-15,249.0,paid
I0000440,A00113,2024-11-15,249.0,paid
I0000441,A00113,2024-12-15,249.0,paid
I0000442,A00113,2025-01-15,249.0,paid
I0000443,A00113,2025-02-15,249.0,paid
I0000444,A00113,2025-03-15,249.0,paid
I0000445,A00113,2025-04-15,249.0,paid
I0000446,A00113,2025-05-15,249.0,paid
I0000447,A00113,2025-06-15,249.0,paid
I0000448,A00113,2025-07-15,249.0,paid
I0000449,A00113,2025-08-15,249.0,paid
I0000450,A00115,2024-05-03,49.0,paid
I0000451,A00115,2024-06-03,49.0,paid
I0000452,A00115,2024-07-03,49.0,paid
I0000453,A00115,2024-08-03,49.0,paid
I0000454,A00115,2024-09-03,49.0,paid
I0000455,A00115,2024-10-03,49.0,paid
I0000456,A00115,2024-11-03,49.0,paid
I0000457,A00115,2024-12-03,49.0,paid
I0000458,A00115,2025-01-03,49.0,paid
I0000459,A00115,2025-02-03,49.0,paid
I0000460,A00116,2025-07-06,99.0,paid
I0000461,A00116,2025-08-06,99.0,paid
I0000462,A00116,2025-09-06,99.0,paid
I0000463,A00116,2025-10-06,99.0,paid
I0000464,A00118,2025-04-08,99.0,paid
I0000465,A00118,2025-05-08,99.0,paid
I0000466,A00118,2025-06-08,99.0,paid
I0000467,A00118,2025-07-08,99.0,paid
I0000468,A00118,2025-08-08,99.0,paid
I0000469,A00118,2025-09-08,99.0,paid
I0000470,A00118,2025-10-08,99.0,paid
I0000471,A00118,2025-11-08,99.0,paid
I0000472,A00118,2025-12-08,99.0,paid
I0000473,A00118,2026-01-08,99.0,paid
I0000474,A00118,2026-02-08,99.0,paid
I0000475,A00118,2026-03-08,99.0,paid
I0000476,A00119,2024-10-19,49.0,paid
I0000477,A00119,2024-11-19,49.0,paid
I0000478,A00119,2024-12-19,49.0,paid
I0000479,A00119,2025-01-19,49.0,paid
I0000480,A00119,2025-02-19,49.0,paid
I0000481,A00119,2025-03-19,49.0,paid
I0000482,A00119,2025-04-19,49.0,paid
I0000483,A00119,2025-05-19,49.0,paid
I0000484,A00119,2025-06-19,49.0,paid
I0000485,A00119,2025-07-19,49.0,paid
I0000486,A00119,2025-08-19,49.0,paid
I0000487,A00119,2025-09-19,49.0,paid
I0000488,A00119,2025-10-19,49.0,paid
I0000489,A00119,2025-11-19,49.0,paid
I0000490,A00119,2025-12-19,49.0,paid
I0000491,A00119,2026-01-19,49.0,paid
I0000492,A00119,2026-02-19,49.0,paid
I0000493,A00119,2026-03-19,49.0,paid
I0000494,A00120,2025-02-02,249.0,paid
I0000495,A00120,2025-03-02,249.0,paid
I0000496,A00120,2025-04-02,249.0,paid
I0000497,A00120,2025-05-02,249.0,paid
I0000498,A00122,2025-02-23,49.0,paid
I0000499,A00122,2025-03-23,49.0,paid
I0000500,A00122,2025-04-23,49.0,paid
I0000501,A00123,2024-03-05,49.0,paid
I0000502,A00123,2024-04-05,49.0,paid
I0000503,A00123,2024-05-05,49.0,paid
I0000504,A00123,2024-06-05,49.0,paid
I0000505,A00123,2024-07-05,49.0,paid
I0000506,A00123,2024-08-05,49.0,paid
I0000507,A00123,2024-09-05,49.0,paid
I0000508,A00123,2024-10-05,49.0,paid
I0000509,A00123,2024-11-05,49.0,paid
I0000510,A00123,2024-12-05,49.0,paid
I0000511,A00123,2025-01-05,49.0,paid
I0000512,A00123,2025-02-05,49.0,paid
I0000513,A00123,2025-03-05,49.0,paid
I0000514,A00123,2025-04-05,49.0,paid
I0000515,A00123,2025-05-05,49.0,paid
I0000516,A00123,2025-06-05,49.0,paid
I0000517,A00123,2025-07-05,49.0,paid
I0000518,A00123,2025-08-05,49.0,paid
I0000519,A00123,2025-09-05,49.0,paid
I0000520,A00123,2025-10-05,49.0,paid
I0000521,A00123,2025-11-05,49.0,paid
I0000522,A00123,2025-12-05,49.0,paid
I0000523,A00123,2026-01-05,49.0,paid
I0000524,A00123,2026-02-05,49.0,paid
I0000525,A00123,2026-03-05,49.0,paid
I0000526,A00125,2024-01-27,99.0,paid
I0000527,A00125,2024-02-27,99.0,paid
I0000528,A00125,2024-03-27,99.0,paid
I0000529,A00125,2024-04-27,99.0,paid
I0000530,A00125,2024-05-27,99.0,paid
I0000531,A00125,2024-06-27,99.0,paid
I0000532,A00125,2024-07-27,99.0,paid
I0000533,A00125,2024-08-27,99.0,paid
I0000534,A00125,2024-09-27,99.0,paid
I0000535,A00125,2024-10-27,99.0,paid
I0000536,A00125,2024-11-27,99.0,paid
I0000537,A00126,2024-11-20,49.0,paid
I0000538,A00126,2024-12-20,49.0,paid
I0000539,A00126,2025-01-20,49.0,paid
I0000540,A00126,2025-02-20,49.0,paid
I0000541,A00126,2025-03-20,49.0,paid
I0000542,A00126,2025-04-20,49.0,paid
I0000543,A00126,2025-05-20,49.0,paid
I0000544,A00126,2025-06-20,49.0,paid
I0000545,A00126,2025-07-20,49.0,paid
I0000546,A00126,2025-08-20,49.0,paid
I0000547,A00126,2025-09-20,49.0,paid
I0000548,A00126,2025-10-20,49.0,paid
I0000549,A00126,2025-11-20,49.0,paid
I0000550,A00126,2025-12-20,49.0,paid
I0000551,A00126,2026-01-20,49.0,paid
I0000552,A00126,2026-02-20,49.0,paid
I0000553,A00126,2026-03-20,49.0,paid
I0000554,A00129,2024-03-13,49.0,paid
I0000555,A00129,2024-04-13,49.0,paid
I0000556,A00129,2024-05-13,49.0,paid
I0000557,A00129,2024-06-13,49.0,paid
I0000558,A00129,2024-07-13,49.0,paid
I0000559,A00129,2024-08-13,49.0,paid
I0000560,A00130,2025-01-10,49.0,paid
I0000561,A00130,2025-02-10,49.0,paid
I0000562,A00132,2025-08-30,49.0,paid
I0000563,A00132,2025-09-30,49.0,paid
I0000564,A00133,2025-01-20,249.0,paid
I0000565,A00133,2025-02-20,249.0,paid
I0000566,A00133,2025-03-20,249.0,paid
I0000567,A00133,2025-04-20,249.0,paid
I0000568,A00133,2025-05-20,249.0,paid
I0000569,A00135,2025-01-29,99.0,paid
I0000570,A00135,2025-02-28,99.0,paid
I0000571,A00135,2025-03-29,99.0,paid
I0000572,A00135,2025-04-29,99.0,paid
I0000573,A00135,2025-05-29,99.0,paid
I0000574,A00135,2025-06-29,99.0,paid
I0000575,A00135,2025-07-29,99.0,paid
I0000576,A00135,2025-08-29,99.0,paid
I0000577,A00135,2025-09-29,99.0,paid
I0000578,A00135,2025-10-29,99.0,paid
I0000579,A00138,2024-11-16,99.0,paid
I0000580,A00138,2024-12-16,99.0,paid
I0000581,A00138,2025-01-16,99.0,paid
I0000582,A00138,2025-02-16,99.0,paid
I0000583,A00138,2025-03-16,99.0,paid
I0000584,A00138,2025-04-16,99.0,paid
I0000585,A00138,2025-05-16,99.0,paid
I0000586,A00138,2025-06-16,99.0,paid
I0000587,A00138,2025-07-16,99.0,paid
I0000588,A00138,2025-08-16,99.0,paid
I0000589,A00138,2025-09-16,99.0,paid
I0000590,A00138,2025-10-16,99.0,paid
I0000591,A00138,2025-11-16,99.0,paid
I0000592,A00138,2025-12-16,99.0,paid
I0000593,A00138,2026-01-16,99.0,paid
I0000594,A00138,2026-02-16,99.0,paid
I0000595,A00138,2026-03-16,99.0,paid
I0000596,A00139,2025-05-27,99.0,paid
I0000597,A00139,2025-06-27,99.0,paid
I0000598,A00139,2025-07-27,99.0,paid
I0000599,A00139,2025-08-27,99.0,paid
I0000600,A00139,2025-09-27,99.0,paid
I0000601,A00139,2025-10-27,99.0,paid
I0000602,A00140,2024-03-01,249.0,paid
I0000603,A00140,2024-04-01,249.0,paid
I0000604,A00140,2024-05-01,249.0,paid
I0000605,A00140,2024-06-01,249.0,paid
I0000606,A00140,2024-07-01,249.0,paid
