ticket_id,account_id,created_at,priority,resolution_hours,csat_score
K000224,A00218,2024-08-14,medium,0.7,3.8
K000225,A00219,2025-11-02,low,2.0,4.6
K000226,A00220,2024-10-16,medium,34.4,2.6
K000227,A00221,2024-09-15,high,5.4,5.0
K000228,A00221,2024-11-30,low,8.6,4.3
K000229,A00222,2025-01-18,low,2.7,4.5
K000230,A00222,2025-01-27,low,5.3,4.1
K000231,A00223,2025-11-01,medium,25.7,3.7
K000232,A00223,2025-10-28,low,4.6,5.0
K000233,A00224,2025-10-26,high,3.0,4.5
K000234,A00224,2026-02-23,low,5.4,4.7
K000235,A00225,2026-02-28,low,1.2,3.9
K000236,A00228,2026-01-27,low,12.7,3.9
K000237,A00229,2025-12-30,low,9.7,4.3
K000238,A00230,2024-12-13,low,11.0,4.4
K000239,A00230,2025-03-05,low,4.9,4.3
K000240,A00233,2026-01-31,medium,5.2,3.4
K000241,A00233,2025-11-27,low,15.8,2.5
K000242,A00234,2026-01-26,medium,6.0,4.3
K000243,A00237,2025-07-20,medium,4.2,3.7
K000244,A00238,2025-08-24,medium,4.9,4.1
K000245,A00238,2025-11-24,medium,5.8,4.3
K000246,A00239,2025-07-13,low,8.2,3.3
K000247,A00239,2025-02-14,medium,12.9,3.4
K000248,A00240,2026-03-04,low,11.8,3.1
K000249,A00240,2025-06-21,medium,12.3,3.4
K000250,A00241,2025-08-21,medium,4.5,5.0
K000251,A00242,2025-12-14,low,3.2,4.5
K000252,A00243,2025-11-13,high,30.0,3.5
K000253,A00244,2026-03-12,low,8.4,5.0
K000254,A00244,2026-03-10,high,14.9,3.8
K000255,A00246,2025-07-14,medium,18.1,4.6
K000256,A00246,2025-07-28,low,6.7,4.2
K000257,A00247,2025-10-24,medium,9.5,3.5
K000258,A00247,2025-01-16,medium,9.9,4.6
K000259,A00248,2025-08-21,medium,24.7,2.7
K000260,A00248,2024-12-10,low,8.9,4.1
K000261,A00248,2025-07-09,medium,6.6,3.6
K000262,A00251,2025-02-20,low,17.4,3.7
K000263,A00252,2026-03-25,high,2.5,4.6
K000264,A00253,2024-12-30,low,9.5,3.9
K000265,A00253,2025-01-04,medium,12.0,3.3
K000266,A00255,2025-11-29,low,2.1,5.0
K000267,A00256,2025-12-06,low,16.6,3.4
K000268,A00256,2025-07-10,medium,16.6,3.8
K000269,A00259,2024-11-28,high,12.9,5.0
K000270,A00259,2024-02-24,medium,12.8,3.9
K000271,A00260,2025-08-03,medium,11.1,4.4
K000272,A00262,2025-06-14,low,2.7,5.0
K000273,A00262,2025-06-27,high,9.8,2.8
K000274,A00263,2026-03-10,high,20.0,3.5
K000275,A00266,2024-11-18,low,32.2,3.4
K000276,A00268,2025-07-25,low,24.3,3.9
K000277,A00268,2025-02-16,low,9.4,4.1
K000278,A00269,2024-07-19,low,4.0,4.1
K000279,A00269,2024-12-02,medium,39.3,3.1
K000280,A00271,2025-12-21,high,3.6,4.9
K000281,A00272,2024-05-17,low,17.6,3.1
K000282,A00273,2025-11-07,medium,4.3,4.6
K000283,A00274,2025-07-20,medium,14.3,3.7
K000284,A00275,2025-10-22,low,13.4,3.9
K000285,A00275,2025-09-04,low,8.5,3.0
K000286,A00277,2024-08-12,medium,4.4,4.6
K000287,A00278,2024-11-23,low,4.5,4.7
K000288,A00279,2025-07-27,high,24.0,4.0
K000289,A00280,2025-10-08,low,20.6,3.7
K000290,A00280,2025-08-20,high,14.2,3.5
K000291,A00281,2025-06-15,low,17.5,3.5
K000292,A00281,2025-12-08,high,16.5,4.3
K000293,A00281,2025-05-08,low,9.1,5.0
K000294,A00282,2024-10-11,low,2.7,4.6
K000295,A00283,2024-07-18,medium,22.5,4.8
K000296,A00283,2024-07-05,low,5.1,4.0
K000297,A00283,2024-07-10,medium,6.5,4.1
K000298,A00283,2024-06-20,medium,10.4,4.0
K000299,A00287,2026-03-24,medium,5.5,4.2
K000300,A00287,2026-02-21,low,11.8,3.7
K000301,A00287,2024-03-17,medium,6.4,3.0
K000302,A00288,2024-12-07,medium,15.8,4.1
K000303,A00288,2024-11-01,medium,12.5,4.1
K000304,A00288,2025-01-04,high,10.8,4.0
K000305,A00288,2024-12-22,medium,0.6,4.5
K000306,A00289,2026-03-07,low,10.5,5.0
K000307,A00290,2025-03-19,low,17.0,2.8
K000308,A00290,2025-08-25,medium,3.9,4.4
K000309,A00291,2025-11-11,low,32.3,3.5
K000310,A00291,2025-09-25,medium,12.3,3.6
K000311,A00293,2025-11-27,medium,15.5,4.6
K000312,A00294,2024-11-18,medium,14.2,4.7
K000313,A00294,2024-06-20,low,3.0,3.2
K000314,A00296,2025-12-23,low,12.8,3.7
K000315,A00297,2026-01-13,low,17.2,4.1
K000316,A00298,2025-09-12,medium,15.5,3.2
K000317,A00298,2026-01-18,medium,10.9,3.2
K000318,A00299,2025-11-03,medium,12.8,4.0
K000319,A00300,2025-06-22,medium,10.7,5.0
K000320,A00302,2024-05-06,high,20.2,3.5
K000321,A00303,2024-12-27,low,32.6,2.7
K000322,A00303,2025-01-07,medium,5.9,4.3
K000323,A00304,2025-04-11,high,13.7,3.8
K000324,A00305,2025-11-30,high,9.0,4.4
K000325,A00308,2025-04-12,low,8.8,3.5
K000326,A00310,2025-11-27,medium,19.1,3.2
K000327,A00311,2025-03-30,low,14.5,4.2
K000328,A00312,2025-01-04,medium,5.0,3.8
K000329,A00312,2025-10-07,high,29.7,3.3
K000330,A00313,2024-09-04,low,25.2,3.5
K000331,A00314,2024-09-08,low,7.6,4.5
K000332,A00315,2024-09-19,medium,4.7,4.3
K000333,A00315,2025-11-05,low,4.6,4.3
K000334,A00315,2025-08-18,low,5.7,4.3
K000335,A00316,2025-10-07,low,25.5,3.2
K000336,A00316,2026-01-22,low,7.6,4.2
K000337,A00318,2025-08-09,medium,12.6,3.8
K000338,A00319,2024-07-29,medium,6.1,4.6
K000339,A00319,2024-10-11,low,7.7,4.1
K000340,A00320,2026-03-13,low,7.1,3.5
K000341,A00320,2026-02-17,medium,13.3,4.3
K000342,A00321,2026-03-17,low,19.4,3.5
K000343,A00323,2024-09-09,low,9.9,4.5
K000344,A00323,2025-06-09,medium,15.1,3.4
K000345,A00323,2025-03-02,high,31.1,3.5
K000346,A00324,2025-01-08,high,15.7,3.3
K000347,A00325,2025-09-13,low,4.9,4.5
K000348,A00326,2025-10-09,medium,10.4,4.6
K000349,A00326,2025-05-04,low,5.7,4.5
K000350,A00327,2025-08-11,low,6.0,3.4
K000351,A00329,2025-07-17,low,11.3,4.2
K000352,A00330,2025-12-15,low,17.6,4.4
K000353,A00330,2025-07-06,low,3.5,3.7
K000354,A00330,2025-10-08,low,5.2,4.2
K000355,A00332,2024-10-16,medium,9.9,3.6
K000356,A00332,2025-01-07,medium,8.7,4.4
K000357,A00334,2026-02-11,medium,40.2,3.3
K000358,A00337,2025-02-26,medium,22.6,4.1
K000359,A00340,2026-03-24,low,6.1,3.7
K000360,A00340,2025-12-13,low,9.7,4.5
K000361,A00341,2024-04-25,low,10.4,4.0
K000362,A00342,2026-02-10,high,25.2,3.8
K000363,A00343,2025-12-23,medium,12.8,3.9
K000364,A00344,2026-01-01,low,14.8,3.8
K000365,A00345,2026-01-11,low,3.7,5.0
K000366,A00345,2025-05-21,medium,4.8,3.4
K000367,A00346,2025-06-05,medium,10.7,3.5
K000368,A00347,2025-11-01,high,25.6,3.1
K000369,A00347,2026-02-23,low,4.4,4.0
K000370,A00348,2024-09-25,low,2.5,4.1
K000371,A00351,2026-02-05,medium,26.5,4.3
K000372,A00352,2024-07-28,low,7.8,3.9
K000373,A00353,2025-10-02,low,29.6,3.4
K000374,A00355,2024-11-29,low,0.5,4.3
K000375,A00355,2025-10-12,low,10.6,4.8
K000376,A00355,2025-04-04,low,10.3,3.4
K000377,A00355,2026-01-19,high,8.2,3.2
K000378,A00356,2025-09-09,high,13.4,3.2
K000379,A00363,2024-04-04,low,6.3,4.4
K000380,A00363,2024-04-03,medium,14.5,3.8
K000381,A00363,2024-03-18,medium,14.6,4.4
K000382,A00364,2024-10-11,high,31.5,3.3
K000383,A00366,2025-10-10,low,9.7,5.0
K000384,A00367,2025-11-14,low,6.1,3.3
K000385,A00367,2025-08-22,medium,29.6,4.3
K000386,A00369,2024-09-18,low,23.5,5.0
K000387,A00369,2024-10-14,medium,5.8,3.3
K000388,A00370,2025-08-09,medium,15.5,4.9
K000389,A00370,2026-01-31,low,5.8,4.2
K000390,A00371,2025-05-07,high,14.7,4.3
K000391,A00372,2024-12-25,low,24.9,4.5
K000392,A00373,2024-09-20,low,12.4,4.0
K000393,A00373,2024-09-18,low,12.8,5.0
K000394,A00375,2024-06-06,low,5.4,4.0
K000395,A00375,2025-03-17,low,15.8,3.5
K000396,A00375,2024-11-02,medium,20.3,3.5
K000397,A00376,2024-04-03,low,5.6,3.4
K000398,A00377,2026-02-11,low,10.8,4.9
K000399,A00380,2025-06-29,low,12.1,3.7
K000400,A00381,2026-03-09,low,10.4,4.4
K000401,A00381,2025-01-10,low,15.2,2.8
K000402,A00382,2025-11-10,low,8.2,3.7
K000403,A00382,2026-03-28,low,6.9,4.4
K000404,A00383,2025-05-12,low,3.2,2.7
K000405,A00386,2025-10-22,low,7.8,4.6
K000406,A00387,2025-12-21,low,13.8,2.7
K000407,A00387,2025-11-04,medium,39.9,4.1
K000408,A00390,2025-08-12,low,18.7,3.8
K000409,A00391,2025-09-21,medium,30.5,2.6
K000410,A00392,2024-03-15,medium,7.1,4.8
K000411,A00393,2025-02-19,medium,4.6,3.8
K000412,A00395,2024-04-18,low,11.3,3.5
K000413,A00396,2026-03-01,medium,19.5,4.2
K000414,A00397,2025-09-24,low,9.9,4.0
K000415,A00397,2025-12-05,medium,5.9,3.8
K000416,A00398,2026-02-19,low,10.3,5.0
K000417,A00398,2025-01-08,low,6.1,4.5
K000418,A00399,2024-11-28,low,14.4,3.8
K000419,A00400,2025-05-12,medium,9.9,4.5
K000420,A00400,2025-02-22,low,19.4,4.6
K000421,A00401,2024-12-05,low,24.3,2.7
K000422,A00401,2024-11-02,medium,9.1,4.5
K000423,A00403,2026-01-07,low,29.1,3.9
K000424,A00405,2025-10-12,low,5.8,5.0
K000425,A00406,2025-11-03,low,28.2,3.0
K000426,A00409,2024-03-27,high,5.6,3.6
K000427,A00409,2024-05-16,low,15.8,4.5
K000428,A00410,2025-12-07,medium,9.3,3.1
K000429,A00412,2025-10-21,low,18.5,2.9
K000430,A00413,2025-10-20,low,20.6,4.9
K000431,A00414,2026-01-12,low,10.9,4.1
K000432,A00415,2024-03-23,medium,21.8,3.6
K000433,A00417,2025-09-05,high,40.7,3.7
K000434,A00418,2026-03-15,high,25.4,3.0
K000435,A00420,2026-01-23,medium,11.4,4.4
K000436,A00421,2025-10-23,low,12.8,3.5
K000437,A00422,2024-05-06,medium,8.4,3.8
K000438,A00423,2024-04-28,medium,12.6,4.3
K000439,A00423,2024-01-22,low,32.0,3.3
K000440,A00424,2025-04-17,low,2.8,4.3
K000441,A00424,2024-03-10,low,4.9,4.2
K000442,A00424,2024-10-08,medium,8.4,3.9
K000443,A00425,2025-07-28,high,9.2,3.6
K000444,A00425,2025-03-24,medium,28.9,3.2
K000445,A00426,2025-06-25,low,13.9,3.5
K000446,A00428,2025-11-07,low,33.8,3.6
K000447,A00428,2025-09-05,medium,3.9,3.9
K000448,A00429,2024-06-17,low,9.0,4.1
K000449,A00430,2025-06-12,high,6.1,3.6
K000450,A00431,2026-03-07,low,6.6,4.0
K000451,A00434,2025-09-25,low,6.5,4.4
K000452,A00434,2026-01-05,medium,22.7,3.7
K000453,A00436,2025-04-03,low,4.5,3.7
K000454,A00437,2024-05-07,medium,23.2,3.8
K000455,A00438,2025-05-13,low,6.4,4.1
K000456,A00440,2025-04-21,low,5.5,4.4
K000457,A00440,2025-08-01,medium,4.4,4.5
K000458,A00440,2025-04-18,high,13.9,4.7
K000459,A00441,2025-09-03,medium,11.0,4.4
K000460,A00441,2025-07-02,low,4.2,3.5
K000461,A00443,2025-05-27,high,17.6,4.2
K000462,A00445,2025-07-19,medium,8.8,4.2
K000463,A00445,2025-12-16,low,18.3,3.8
K000464,A00445,2025-05-10,low,21.8,2.6
K000465,A00449,2024-06-30,medium,23.2,4.2
K000466,A00449,2024-12-03,high,21.7,3.0
K000467,A00450,2025-04-07,medium,13.7,3.7
K000468,A00450,2025-03-20,medium,10.9,3.9
K000469,A00451,2024-01-29,medium,12.9,3.3
K000470,A00451,2024-02-25,low,3.4,4.6
K000471,A00452,2025-07-27,low,9.6,4.6
K000472,A00453,2026-03-26,low,19.0,5.0
K000473,A00453,2025-08-05,medium,1.2,4.0
K000474,A00453,2025-07-02,medium,18.5,4.3
K000475,A00454,2025-12-17,low,8.4,4.2
K000476,A00455,2024-04-06,low,8.2,4.6
K000477,A00459,2025-08-05,low,5.5,4.5
K000478,A00459,2026-01-09,low,26.8,2.8
K000479,A00460,2025-08-29,low,24.7,2.6
K000480,A00463,2025-10-05,low,7.1,3.3
K000481,A00464,2025-03-08,medium,16.8,4.1
K000482,A00464,2025-12-07,low,10.3,4.1
K000483,A00465,2025-01-20,low,30.7,3.7
K000484,A00467,2025-03-05,low,2.6,3.7
K000485,A00468,2026-02-21,high,4.1,3.1
K000486,A00468,2026-02-10,low,18.2,4.8
K000487,A00469,2025-11-25,low,9.8,3.9
K000488,A00469,2025-11-23,high,12.2,4.4
K000489,A00470,2025-02-07,medium,3.4,3.8
K000490,A00471,2026-02-23,medium,6.9,4.8
K000491,A00472,2024-12-20,medium,7.5,3.6
K000492,A00473,2024-08-05,medium,3.6,4.5
K000493,A00473,2024-05-13,low,15.2,3.6
K000494,A00473,2024-05-05,high,6.7,3.5
K000495,A00473,2024-04-08,high,53.6,2.5
K000496,A00475,2024-07-17,medium,11.4,4.3
K000497,A00476,2025-09-07,medium,29.4,3.4
K000498,A00477,2025-05-30,medium,8.3,3.4
K000499,A00478,2025-11-04,medium,6.5,4.6
K000500,A00479,2026-03-07,low,2.5,4.6
K000501,A00480,2025-01-02,medium,12.6,4.2
K000502,A00480,2025-06-10,low,9.1,3.7
K000503,A00480,2025-09-22,low,15.2,4.5
K000504,A00480,2024-11-07,low,12.7,4.4
K000505,A00480,2024-10-18,low,5.0,4.3
K000506,A00481,2025-11-13,low,12.5,3.2
K000507,A00483,2025-03-28,low,4.0,4.5
K000508,A00483,2025-09-14,low,22.6,3.5
K000509,A00484,2025-03-25,medium,16.4,3.1
K000510,A00485,2025-08-22,medium,18.3,3.6
K000511,A00485,2024-10-27,low,3.1,4.0
K000512,A00486,2024-10-28,medium,10.2,4.7
K000513,A00488,2025-05-23,low,3.4,3.7
K000514,A00489,2026-01-14,low,33.4,3.3
K000515,A00491,2025-05-29,high,9.5,4.2
K000516,A00492,2025-05-12,low,4.2,4.8
K000517,A00493,2025-03-29,medium,15.8,3.9
K000518,A00493,2025-11-11,low,28.5,3.3
K000519,A00494,2026-03-12,low,21.4,4.4
K000520,A00494,2025-06-07,medium,2.0,4.5
K000521,A00494,2024-11-15,low,0.5,5.0
K000522,A00495,2025-09-13,high,7.1,4.4
K000523,A00495,2025-09-22,low,17.0,4.0
K000524,A00495,2025-11-13,medium,8.3,3.3
K000525,A00496,2025-07-07,high,20.5,3.3
K000526,A00496,2025-08-21,high,17.1,2.9
K000527,A00496,2025-03-15,low,12.9,3.6
K000528,A00496,2025-08-21,medium,7.5,5.0
K000529,A00500,2025-05-16,low,3.1,3.5
K000530,A00501,2025-05-25,low,10.1,4.0
K000531,A00502,2026-02-26,medium,2.3,4.1
K000532,A00505,2025-02-26,medium,7.3,3.6
K000533,A00506,2026-03-04,low,3.6,4.2
K000534,A00507,2025-01-10,medium,13.1,3.8
K000535,A00508,2026-03-10,medium,9.1,3.1
K000536,A00510,2024-04-15,medium,12.2,3.3
K000537,A00510,2024-04-05,high,32.1,4.0
K000538,A00511,2024-07-08,low,5.4,4.0
K000539,A00511,2025-09-11,low,9.0,5.0
K000540,A00512,2025-09-12,high,3.9,3.8
K000541,A00512,2025-10-16,low,20.4,4.6
K000542,A00512,2026-03-23,medium,10.6,3.8
K000543,A00513,2024-11-02,low,11.1,4.2
K000544,A00515,2024-09-21,low,3.8,5.0
K000545,A00517,2024-11-16,low,4.1,4.3
K000546,A00519,2024-09-11,low,3.5,3.7
K000547,A00519,2024-01-11,medium,6.5,3.9
K000548,A00519,2024-08-22,low,6.5,4.1
K000549,A00521,2025-12-23,low,1.8,3.2
K000550,A00522,2025-05-16,medium,33.5,3.5
